# Date of Experiment: 5/19/2013	2:02 AM

# yOffsetT2.V:  0.397106
# xOffsetT2.V: -0.180276
# yCornerFreqT2.Hz 921.501983
# xCornerFreqT2.Hz: 882.275945
# yStiffnessT2.pNperNm: 0.109138
# xStiffnessT2.pNperNm: 0.104493
# yDistConversionT2.VperNm: 0.001104
# xDistConversionT2.VperNm: 0.001002

# yOffsetT1.V:  0.030498
# xOffsetT1.V: -0.122023
# yCornerFreqT1.Hz 895.110965
# xCornerFreqT1.Hz: 1178.023242
# yStiffnessT1.pNperNm: 0.114494
# xStiffnessT1.pNperNm: 0.150681
# yDistConversionT1.VperNm: 0.000712
# xDistConversionT1.VperNm: 0.000835

# diameterT1.um: 2.160000
# diameterT2.um: 2.000000

# zOffsetT1.V: -3.144660
# zOffsetT2.V: -3.218840

# sampleRate.Hz: 80000.000000
# nSamples: 1048576.000000
# nBlocks: 128.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 
3.540039E+2	9.390279E-9	9.517698E-9	2.598725E-8	2.520776E-8	8.328011E-9	1.028696E-8	2.294443E-8	2.666404E-8	3.700290E-9	4.281109E-8
3.662109E+2	8.682433E-9	9.407014E-9	2.157373E-8	2.848733E-8	8.279900E-9	1.019026E-8	2.272337E-8	2.642563E-8	3.255118E-9	3.495763E-8
3.784180E+2	8.822681E-9	9.646518E-9	2.229532E-8	2.663240E-8	8.230739E-9	1.009219E-8	2.249926E-8	2.618358E-8	3.309051E-9	3.674351E-8
3.906250E+2	8.898358E-9	8.346772E-9	2.294079E-8	2.788731E-8	8.180576E-9	9.992857E-9	2.227239E-8	2.593820E-8	3.078615E-9	3.358747E-8
4.028320E+2	8.396210E-9	9.304962E-9	1.861342E-8	2.332674E-8	8.129457E-9	9.892402E-9	2.204306E-8	2.568981E-8	2.711526E-9	2.683053E-8
4.150391E+2	8.896712E-9	1.018357E-8	2.188558E-8	2.555407E-8	8.077430E-9	9.790948E-9	2.181157E-8	2.543871E-8	3.065598E-9	2.827589E-8
4.272461E+2	9.920528E-9	1.078914E-8	2.460632E-8	2.516637E-8	8.024540E-9	9.688618E-9	2.157819E-8	2.518519E-8	3.071861E-9	3.449279E-8
4.394531E+2	8.290561E-9	1.096816E-8	2.257017E-8	2.690052E-8	7.970837E-9	9.585530E-9	2.134321E-8	2.492955E-8	3.298975E-9	4.106781E-8
4.516602E+2	8.409505E-9	1.054863E-8	2.208767E-8	2.911237E-8	7.916364E-9	9.481802E-9	2.110688E-8	2.467206E-8	2.898712E-9	3.393598E-8
4.638672E+2	8.291959E-9	9.088510E-9	2.592022E-8	2.731424E-8	7.861169E-9	9.377544E-9	2.086947E-8	2.441299E-8	2.694802E-9	2.864738E-8
4.760742E+2	7.560614E-9	8.706223E-9	2.523464E-8	2.720228E-8	7.805298E-9	9.272865E-9	2.063122E-8	2.415262E-8	2.494220E-9	2.403735E-8
4.882812E+2	8.898393E-9	9.810363E-9	2.301403E-8	2.573865E-8	7.748795E-9	9.167868E-9	2.039237E-8	2.389120E-8	2.518913E-9	2.051093E-8
5.004883E+2	8.670927E-9	9.727841E-9	2.094232E-8	2.311280E-8	7.691704E-9	9.062653E-9	2.015315E-8	2.362896E-8	2.377996E-9	2.539475E-8
5.126953E+2	7.562118E-9	8.850596E-9	1.881821E-8	2.520355E-8	7.634070E-9	8.957316E-9	1.991378E-8	2.336616E-8	2.280747E-9	1.855932E-8
5.249023E+2	7.005666E-9	9.116997E-9	1.851982E-8	2.333375E-8	7.575935E-9	8.851949E-9	1.967445E-8	2.310302E-8	2.285314E-9	1.689536E-8
5.371094E+2	7.890078E-9	9.239046E-9	2.113560E-8	1.983940E-8	7.517342E-9	8.746640E-9	1.943539E-8	2.283975E-8	2.040922E-9	1.653546E-8
5.493164E+2	7.836887E-9	8.216199E-9	1.998566E-8	2.172901E-8	7.458333E-9	8.641471E-9	1.919676E-8	2.257657E-8	2.022227E-9	1.816958E-8
5.615234E+2	7.506536E-9	7.578443E-9	1.905013E-8	2.247279E-8	7.398948E-9	8.536522E-9	1.895876E-8	2.231367E-8	1.836221E-9	2.101704E-8
5.737305E+2	6.902871E-9	7.453260E-9	1.862439E-8	1.931548E-8	7.339227E-9	8.431868E-9	1.872155E-8	2.205124E-8	1.942775E-9	1.607721E-8
5.859375E+2	7.944954E-9	7.958431E-9	1.832099E-8	1.974809E-8	7.279209E-9	8.327580E-9	1.848528E-8	2.178947E-8	1.991008E-9	1.676139E-8
5.981445E+2	7.451149E-9	8.425149E-9	2.075557E-8	2.038687E-8	7.218932E-9	8.223725E-9	1.825012E-8	2.152852E-8	2.079238E-9	1.598684E-8
6.103516E+2	8.058487E-9	9.457831E-9	2.024972E-8	2.021043E-8	7.158433E-9	8.120367E-9	1.801620E-8	2.126856E-8	1.833985E-9	1.402877E-8
6.225586E+2	8.548887E-9	8.456950E-9	1.923963E-8	2.202382E-8	7.097748E-9	8.017563E-9	1.778365E-8	2.100974E-8	1.697001E-9	1.320265E-8
6.347656E+2	7.349530E-9	7.886380E-9	1.929190E-8	2.029609E-8	7.036911E-9	7.915371E-9	1.755260E-8	2.075220E-8	1.704474E-9	1.549446E-8
6.469727E+2	7.870609E-9	7.985450E-9	1.879897E-8	2.033639E-8	6.975958E-9	7.813841E-9	1.732317E-8	2.049608E-8	1.693491E-9	1.556139E-8
6.591797E+2	8.101224E-9	6.578181E-9	1.818582E-8	1.937234E-8	6.914920E-9	7.713023E-9	1.709545E-8	2.024151E-8	1.708949E-9	1.187751E-8
6.713867E+2	7.388182E-9	7.445224E-9	1.956075E-8	2.014903E-8	6.853830E-9	7.612960E-9	1.686955E-8	1.998859E-8	1.677744E-9	1.369369E-8
6.835937E+2	6.919869E-9	8.411862E-9	1.884862E-8	2.106286E-8	6.792719E-9	7.513694E-9	1.664556E-8	1.973745E-8	1.653903E-9	1.317244E-8
6.958008E+2	7.235999E-9	7.435512E-9	1.701008E-8	1.973758E-8	6.731615E-9	7.415265E-9	1.642356E-8	1.948819E-8	1.695071E-9	1.044408E-8
7.080078E+2	7.859181E-9	7.298268E-9	1.683329E-8	1.931395E-8	6.670549E-9	7.317706E-9	1.620363E-8	1.924090E-8	1.590568E-9	9.266019E-9
7.202148E+2	7.296863E-9	5.698857E-9	1.465349E-8	2.261135E-8	6.609547E-9	7.221050E-9	1.598584E-8	1.899566E-8	1.390372E-9	9.317936E-9
7.324219E+2	6.320591E-9	6.629225E-9	1.312928E-8	2.289561E-8	6.548637E-9	7.125326E-9	1.577026E-8	1.875256E-8	1.511274E-9	8.349905E-9
7.446289E+2	5.725155E-9	6.526491E-9	1.474014E-8	1.934933E-8	6.487843E-9	7.030561E-9	1.555693E-8	1.851168E-8	1.544879E-9	8.251616E-9
7.568359E+2	6.017800E-9	6.483462E-9	1.718811E-8	1.946367E-8	6.427190E-9	6.936779E-9	1.534591E-8	1.827307E-8	1.601179E-9	8.786817E-9
7.690430E+2	6.872547E-9	6.274927E-9	1.475021E-8	1.765489E-8	6.366702E-9	6.844000E-9	1.513724E-8	1.803680E-8	1.269039E-9	7.315777E-9
7.812500E+2	5.829761E-9	6.191810E-9	1.529960E-8	1.790665E-8	6.306401E-9	6.752245E-9	1.493097E-8	1.780293E-8	1.143548E-9	6.457000E-9
7.934570E+2	6.972738E-9	6.524398E-9	1.610372E-8	1.910908E-8	6.246309E-9	6.661530E-9	1.472712E-8	1.757151E-8	1.376037E-9	7.439132E-9
8.056641E+2	6.965904E-9	6.393488E-9	1.546700E-8	1.749664E-8	6.186446E-9	6.571870E-9	1.452573E-8	1.734257E-8	1.361294E-9	7.476926E-9
8.178711E+2	5.944965E-9	5.213459E-9	1.592154E-8	1.567731E-8	6.126831E-9	6.483276E-9	1.432683E-8	1.711617E-8	1.246756E-9	6.640304E-9
