trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260644864.00	-1.95	-62.37	62.40	-144.68	-3853.54	3856.26
260644976.00	-2.09	-62.56	62.60	-154.75	-3865.78	3868.87
260645072.00	-1.92	-62.69	62.72	-141.85	-3873.47	3876.06
260645168.00	-1.99	-62.35	62.39	-147.56	-3852.84	3855.66
260645280.00	-1.92	-62.33	62.36	-142.44	-3851.64	3854.28
260645376.00	-1.93	-62.72	62.75	-143.08	-3875.37	3878.01
260645376.00	-1.95	-62.55	62.58	-144.16	-3864.79	3867.47
260645488.00	-1.82	-62.65	62.67	-135.04	-3870.98	3873.33
260645568.00	-2.13	-62.48	62.52	-158.05	-3860.62	3863.86
260645680.00	-1.72	-62.41	62.44	-127.50	-3856.48	3858.59
260645776.00	-2.10	-62.45	62.48	-155.23	-3858.54	3861.66
260645872.00	-1.75	-62.63	62.65	-129.62	-3869.74	3871.91
260645968.00	-1.89	-62.53	62.56	-139.84	-3864.02	3866.55
260646176.00	-2.06	-62.68	62.72	-152.67	-3873.22	3876.22
260646272.00	-2.19	-62.48	62.52	-161.96	-3860.48	3863.88
260646272.00	-2.04	-62.50	62.54	-150.79	-3862.04	3864.98
260646464.00	-1.92	-62.62	62.65	-141.89	-3869.31	3871.91
260646464.00	-1.88	-62.63	62.66	-139.59	-3870.19	3872.71
260646672.00	-1.93	-62.36	62.39	-142.98	-3853.53	3856.18
260646768.00	-1.86	-62.69	62.72	-138.02	-3873.70	3876.16
260646880.00	-1.99	-62.51	62.54	-147.76	-3862.58	3865.40
260646880.00	-1.90	-62.44	62.47	-141.00	-3858.16	3860.73
260646976.00	-1.98	-61.32	61.35	-146.93	-3788.67	3791.52
260647168.00	-1.80	-60.67	60.69	-133.36	-3748.66	3751.03
260647264.00	-2.05	-60.96	61.00	-151.98	-3766.95	3770.01
260647264.00	-1.80	-61.03	61.05	-133.04	-3770.79	3773.13
260647472.00	-1.68	-61.15	61.17	-124.31	-3778.51	3780.55
260647472.00	-1.83	-60.80	60.82	-135.35	-3756.57	3759.01
260647680.00	-1.86	-60.76	60.79	-137.97	-3754.57	3757.10
260647680.00	-1.88	-60.86	60.89	-139.40	-3760.54	3763.12
260647872.00	-1.68	-60.85	60.87	-124.19	-3759.97	3762.02
260647872.00	-1.69	-61.03	61.06	-124.83	-3771.24	3773.30
260647968.00	-2.00	-60.00	60.03	-147.98	-3707.26	3710.21
260648176.00	-1.75	-59.16	59.19	-129.68	-3655.61	3657.91
260648272.00	-1.66	-59.19	59.21	-122.98	-3657.27	3659.34
260648272.00	-1.66	-59.69	59.71	-122.66	-3687.97	3690.01
260648464.00	-1.78	-59.08	59.11	-131.92	-3650.56	3652.94
260648464.00	-1.73	-59.47	59.49	-127.78	-3674.37	3676.59
260648576.00	-1.68	-59.28	59.31	-124.22	-3663.11	3665.21
260648672.00	-1.78	-59.32	59.35	-131.52	-3665.42	3667.78
260648768.00	-1.86	-59.51	59.54	-137.82	-3677.26	3679.84
260648896.00	-1.91	-59.42	59.45	-141.30	-3671.64	3674.36
260648976.00	-1.67	-58.24	58.27	-123.35	-3598.92	3601.03
260649072.00	-1.71	-57.98	58.00	-126.51	-3582.56	3584.80
260649168.00	-1.64	-57.76	57.79	-121.55	-3569.13	3571.20
260649280.00	-1.77	-57.88	57.91	-130.77	-3576.33	3578.72
260649472.00	-1.67	-58.02	58.04	-124.05	-3584.90	3587.04
260649472.00	-1.59	-57.93	57.95	-117.90	-3579.66	3581.60
260649568.00	-1.83	-57.96	57.99	-135.41	-3581.17	3583.73
260649680.00	-1.60	-58.04	58.07	-118.33	-3586.59	3588.54
260649776.00	-1.66	-57.89	57.91	-122.80	-3576.91	3579.01
260649872.00	-1.82	-58.03	58.06	-134.47	-3585.48	3588.00
260649968.00	-1.62	-56.95	56.97	-119.92	-3519.04	3521.08
260650176.00	-1.72	-56.32	56.34	-127.33	-3479.76	3482.09
260650272.00	-1.47	-56.46	56.48	-108.57	-3488.74	3490.43
260650272.00	-1.62	-56.29	56.32	-119.91	-3478.40	3480.47
260650464.00	-1.52	-56.26	56.28	-112.41	-3476.38	3478.20
260650464.00	-1.66	-56.36	56.38	-123.16	-3482.42	3484.60
260650576.00	-1.35	-56.35	56.37	-100.29	-3482.11	3483.55
260650672.00	-1.46	-56.57	56.59	-107.94	-3495.64	3497.31
260650768.00	-1.62	-56.43	56.45	-119.70	-3486.72	3488.78
260650880.00	-1.61	-56.31	56.33	-119.54	-3479.47	3481.52
260650976.00	-1.42	-55.51	55.53	-105.15	-3430.02	3431.63
260651168.00	-1.38	-54.90	54.92	-102.00	-3392.55	3394.08
260651264.00	-1.71	-54.88	54.91	-126.94	-3390.99	3393.37
260651264.00	-1.58	-54.53	54.55	-116.79	-3369.20	3371.23
260651472.00	-1.40	-54.67	54.69	-103.55	-3378.33	3379.91
260651472.00	-1.50	-54.95	54.97	-111.47	-3395.24	3397.07
260651568.00	-1.30	-54.84	54.86	-96.31	-3388.69	3390.06
260651680.00	-1.50	-54.90	54.92	-111.30	-3392.46	3394.28
260651776.00	-1.42	-54.90	54.92	-105.04	-3392.09	3393.71
260651872.00	-1.31	-54.65	54.66	-96.68	-3376.73	3378.11
260651968.00	-1.48	-53.67	53.69	-109.35	-3316.40	3318.20
260652064.00	-1.33	-53.06	53.08	-98.67	-3278.82	3280.31
260652272.00	-1.22	-53.16	53.18	-90.45	-3284.88	3286.12
260652272.00	-1.37	-53.42	53.43	-101.39	-3300.60	3302.16
260652368.00	-1.47	-53.04	53.06	-108.56	-3277.32	3279.11
260652480.00	-1.54	-53.39	53.41	-113.96	-3298.96	3300.92
260652576.00	-1.26	-53.17	53.19	-93.67	-3285.67	3287.00
260652576.00	-1.36	-53.37	53.39	-101.03	-3297.76	3299.30
260652688.00	-1.53	-53.33	53.36	-113.67	-3295.45	3297.41
260652768.00	-1.30	-53.18	53.20	-96.23	-3286.06	3287.46
260652864.00	-1.38	-53.24	53.26	-102.19	-3289.92	3291.51
260652976.00	-1.45	-52.60	52.62	-107.04	-3250.02	3251.78
260653072.00	-1.36	-51.94	51.96	-100.81	-3209.64	3211.22
260653168.00	-1.47	-52.02	52.04	-109.02	-3214.10	3215.95
260653280.00	-1.25	-51.75	51.77	-92.62	-3197.91	3199.26
260653376.00	-1.40	-52.14	52.16	-103.97	-3221.98	3223.66
260653472.00	-1.10	-51.78	51.79	-81.77	-3199.38	3200.43
260653472.00	-1.44	-52.14	52.16	-106.33	-3221.74	3223.49
260653568.00	-1.33	-51.78	51.80	-98.59	-3199.53	3201.05
260653664.00	-1.16	-52.01	52.02	-85.66	-3213.48	3214.62
260653776.00	-1.38	-51.94	51.95	-102.37	-3209.14	3210.77
260653872.00	-1.11	-52.02	52.04	-82.21	-3214.58	3215.63
260653968.00	-1.32	-50.96	50.98	-97.81	-3148.78	3150.29
260654176.00	-1.11	-50.76	50.77	-82.21	-3136.46	3137.53
260654272.00	-1.31	-50.49	50.50	-97.31	-3119.58	3121.10
260654368.00	-1.37	-50.40	50.41	-101.40	-3113.97	3115.62
260654464.00	-1.39	-50.44	50.46	-103.24	-3116.96	3118.67
260654464.00	-1.45	-50.44	50.46	-107.49	-3116.46	3118.32
260654576.00	1.14	50.58	50.59	84.31	3125.39	3126.53
260654576.00	-1.31	-50.33	50.35	-96.83	-3110.18	3111.69
260654768.00	-1.36	-50.34	50.36	-101.11	-3110.53	3112.17
260654768.00	-1.29	-50.39	50.40	-95.68	-3113.32	3114.79
260654880.00	-1.24	-50.49	50.51	-91.56	-3119.97	3121.32
260654976.00	-0.98	-49.36	49.37	-72.35	-3050.17	3051.03
260655072.00	-1.03	-48.84	48.85	-76.51	-3017.65	3018.62
260655280.00	-1.19	-49.02	49.03	-88.36	-3028.97	3030.26
260655376.00	-1.16	-48.98	49.00	-86.15	-3026.67	3027.90
