trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
9353270.00000	5.23490	-0.03975	0.23721
9354572.00000	5.23490	-0.03975	0.23721
9355870.00000	5.23490	-0.03975	0.23721
9357173.00000	5.23490	-0.03975	0.23721
9358570.00000	5.23490	-0.03975	0.23721
9359870.00000	5.23490	-0.03975	0.23721
9361170.00000	5.23490	-0.03975	0.23721
9362469.00000	5.23490	-0.03975	0.23721
9363770.00000	5.23490	-0.03975	0.23721
9365071.00000	5.23490	-0.03975	0.23721
9366369.00000	5.23490	-0.03975	0.23721
9367670.00000	5.23490	-0.03975	0.23721
9368970.00000	5.23490	-0.03975	0.23721
9370270.00000	5.23490	-0.03975	0.23721
9371570.00000	5.23490	-0.03975	0.23721
9372871.00000	5.23490	-0.03975	0.23721
9374169.00000	5.23490	-0.03975	0.23721
9375471.00000	5.23490	-0.03975	0.23721
9376770.00000	5.23490	-0.03975	0.23721
9378071.00000	5.23490	-0.03975	0.23721
9379370.00000	5.23490	-0.03975	0.23721
9380670.00000	5.23490	-0.03975	0.23721
9381970.00000	5.23490	-0.03975	0.23721
9383271.00000	5.23490	-0.03975	0.23721
9384571.00000	5.23490	-0.03975	0.23721
9385870.00000	5.23490	-0.03975	0.23721
9387170.00000	5.23490	-0.03975	0.23721
9388470.00000	5.23490	-0.03975	0.23721
9389770.00000	5.23490	-0.03975	0.23721
9391071.00000	5.23490	-0.03975	0.23721
9392370.00000	5.23490	-0.03975	0.23721
9393770.00000	5.23490	-0.03975	0.23721
9395071.00000	5.23490	-0.03975	0.23721
9396370.00000	5.23490	-0.03975	0.23721
9397670.00000	5.23490	-0.03975	0.23721
9398971.00000	5.23490	-0.03975	0.23721
9400271.00000	5.23490	-0.03975	0.23721
9401570.00000	5.23490	-0.03975	0.23721
9402871.00000	5.23490	-0.03975	0.23721
9404170.00000	5.23490	-0.03975	0.23721
9405470.00000	5.23490	-0.03975	0.23721
9406771.00000	5.23490	-0.03975	0.23721
9408071.00000	5.23490	-0.03975	0.23721
9409370.00000	5.23490	-0.03975	0.23721
9410670.00000	5.23490	-0.03975	0.23721
9411970.00000	5.23490	-0.03975	0.23721
9413270.00000	5.23490	-0.03975	0.23721
9414572.00000	5.23490	-0.03975	0.23721
9415872.00000	5.23490	-0.03975	0.23721
9417270.00000	5.23490	-0.03975	0.23721
9418570.00000	5.23490	-0.03975	0.23721
9419870.00000	5.23490	-0.03975	0.23721
9421171.00000	5.23490	-0.03975	0.23721
9422471.00000	5.23490	-0.03975	0.23721
9423771.00000	5.23490	-0.03975	0.23721
9425070.00000	5.23490	-0.03975	0.23721
9426370.00000	5.23490	-0.03975	0.23721
9427671.00000	5.23490	-0.03975	0.23721
9428970.00000	5.23490	-0.03975	0.23721
9430272.00000	5.23490	-0.03975	0.23721
9431571.00000	5.23490	-0.03975	0.23721
9432870.00000	5.23490	-0.03975	0.23721
9434173.00000	5.23490	-0.03975	0.23721
9435471.00000	5.23490	-0.03975	0.23721
9436771.00000	5.23490	-0.03975	0.23721
9438071.00000	5.23490	-0.03975	0.23721
9439371.00000	5.23490	-0.03975	0.23721
9440671.00000	5.23490	-0.03975	0.23721
9442072.00000	5.23490	-0.03975	0.23721
9443370.00000	5.23490	-0.03975	0.23721
9444670.00000	5.23490	-0.03975	0.23721
9445971.00000	5.23490	-0.03975	0.23721
9447272.00000	5.23490	-0.03975	0.23721
9448572.00000	5.23490	-0.03975	0.23721
9449870.00000	5.23490	-0.03975	0.23721
9451170.00000	5.23490	-0.03975	0.23721
9452471.00000	5.23490	-0.03975	0.23721
9453775.00000	5.23490	-0.03975	0.23721
9455071.00000	5.23490	-0.03975	0.23721
9456371.00000	5.23490	-0.03975	0.23721
9457672.00000	5.23490	-0.03975	0.23721
9458972.00000	5.23490	-0.03975	0.23721
9460271.00000	5.23490	-0.03975	0.23721
9461571.00000	5.23490	-0.03975	0.23721
9462871.00000	5.23490	-0.03975	0.23721
9464171.00000	5.23490	-0.03975	0.23721
9465471.00000	5.23490	-0.03975	0.23721
9466773.00000	5.23490	-0.03975	0.23721
9468072.00000	5.23490	-0.03975	0.23721
9469371.00000	5.23490	-0.03975	0.23721
9470672.00000	5.23490	-0.03975	0.23721
9471971.00000	5.23490	-0.03975	0.23721
9473273.00000	5.23490	-0.03975	0.23721
9474571.00000	5.23490	-0.03975	0.23721
9475871.00000	5.23490	-0.03975	0.23721
9477172.00000	5.23490	-0.03975	0.23721
9478471.00000	5.23490	-0.03975	0.23721
9479771.00000	5.23490	-0.03975	0.23721
9481072.00000	5.23490	-0.03975	0.23721
9482471.00000	5.23490	-0.03975	0.23721
9483775.00000	5.23490	-0.03975	0.23721
9485072.00000	5.23490	-0.03975	0.23721
9486372.00000	5.23490	-0.03975	0.23721
9487671.00000	5.23490	-0.03975	0.23721
9488972.00000	5.23490	-0.03975	0.23721
9490273.00000	5.23490	-0.03975	0.23721
9491573.00000	5.23490	-0.03975	0.23721
9492871.00000	5.23490	-0.03975	0.23721
9494173.00000	5.23490	-0.03975	0.23721
9495472.00000	5.23490	-0.03975	0.23721
9496773.00000	5.23490	-0.03975	0.23721
9498071.00000	5.23490	-0.03975	0.23721
