trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
11126530.00000	5.23490	-0.03975	0.23721
11127830.00000	5.23490	-0.03975	0.23721
11129129.00000	5.23490	-0.03975	0.23721
11130430.00000	5.23490	-0.03975	0.23721
11131730.00000	5.23490	-0.03975	0.23721
11133031.00000	5.23490	-0.03975	0.23721
11134329.00000	5.23490	-0.03975	0.23721
11135630.00000	5.23490	-0.03975	0.23721
11136929.00000	5.23490	-0.03975	0.23721
11138230.00000	5.23490	-0.03975	0.23721
11139530.00000	5.23490	-0.03975	0.23721
11140830.00000	5.23490	-0.03975	0.23721
11142129.00000	5.23490	-0.03975	0.23721
11143530.00000	5.23490	-0.03975	0.23721
11144829.00000	5.23490	-0.03975	0.23721
11146130.00000	5.23490	-0.03975	0.23721
11147430.00000	5.23490	-0.03975	0.23721
11148731.00000	5.23490	-0.03975	0.23721
11150030.00000	5.23490	-0.03975	0.23721
11151330.00000	5.23490	-0.03975	0.23721
11152629.00000	5.23490	-0.03975	0.23721
11153930.00000	5.23490	-0.03975	0.23721
11155230.00000	5.23490	-0.03975	0.23721
11156531.00000	5.23490	-0.03975	0.23721
11157830.00000	5.23490	-0.03975	0.23721
11159129.00000	5.23490	-0.03975	0.23721
11160431.00000	5.23490	-0.03975	0.23721
11161730.00000	5.23490	-0.03975	0.23721
11163030.00000	5.23490	-0.03975	0.23721
11164330.00000	5.23490	-0.03975	0.23721
11165630.00000	5.23490	-0.03975	0.23721
11166930.00000	5.23490	-0.03975	0.23721
11168231.00000	5.23490	-0.03975	0.23721
11169531.00000	5.23490	-0.03975	0.23721
11170831.00000	5.23490	-0.03975	0.23721
11172130.00000	5.23490	-0.03975	0.23721
11173430.00000	5.23490	-0.03975	0.23721
11174830.00000	5.23490	-0.03975	0.23721
11176130.00000	5.23490	-0.03975	0.23721
11177430.00000	5.23490	-0.03975	0.23721
11178730.00000	5.23490	-0.03975	0.23721
11180031.00000	5.23490	-0.03975	0.23721
11181329.00000	5.23490	-0.03975	0.23721
11182632.00000	5.23490	-0.03975	0.23721
11183930.00000	5.23490	-0.03975	0.23721
11185231.00000	5.23490	-0.03975	0.23721
11186531.00000	5.23490	-0.03975	0.23721
11187831.00000	5.23490	-0.03975	0.23721
11189131.00000	5.23490	-0.03975	0.23721
11190430.00000	5.23490	-0.03975	0.23721
11191739.00000	5.23490	-0.03975	0.23721
11193031.00000	5.23490	-0.03975	0.23721
11194329.00000	5.23490	-0.03975	0.23721
11195631.00000	5.23490	-0.03975	0.23721
11196931.00000	5.23490	-0.03975	0.23721
11198230.00000	5.23490	-0.03975	0.23721
11199630.00000	5.23490	-0.03975	0.23721
11200931.00000	5.23490	-0.03975	0.23721
11202232.00000	5.23490	-0.03975	0.23721
11203531.00000	5.23490	-0.03975	0.23721
11204831.00000	5.23490	-0.03975	0.23721
11206130.00000	5.23490	-0.03975	0.23721
11207431.00000	5.23490	-0.03975	0.23721
11208731.00000	5.23490	-0.03975	0.23721
11210030.00000	5.23490	-0.03975	0.23721
11211330.00000	5.23490	-0.03975	0.23721
11212630.00000	5.23490	-0.03975	0.23721
11213931.00000	5.23490	-0.03975	0.23721
11215231.00000	5.23490	-0.03975	0.23721
11216531.00000	5.23490	-0.03975	0.23721
11217930.00000	5.23490	-0.03975	0.23721
11219231.00000	5.23490	-0.03975	0.23721
