trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
259682880.00	-1.46	-49.64	49.66	-108.20	-3067.14	3069.04
259682880.00	-1.38	-48.42	48.44	-101.89	-2992.08	2993.82
259682976.00	-1.28	-48.36	48.37	-94.92	-2988.04	2989.55
259683088.00	-1.24	-48.20	48.21	-92.02	-2978.18	2979.60
259683184.00	-1.48	-48.22	48.24	-109.99	-2979.30	2981.33
259683280.00	-1.36	-48.53	48.55	-101.03	-2998.49	3000.19
259683280.00	1.43	48.78	48.80	105.96	3014.30	3016.16
259683376.00	-1.37	-48.57	48.59	-101.42	-3001.04	3002.75
259683488.00	1.53	48.69	48.71	113.20	3008.60	3010.73
259683584.00	-1.31	-48.51	48.53	-96.73	-2997.38	2998.94
259683680.00	-1.30	-48.25	48.27	-96.32	-2981.41	2982.96
259683680.00	-1.23	-48.10	48.12	-90.78	-2972.24	2973.62
259683776.00	-1.27	-48.12	48.13	-94.41	-2973.19	2974.69
259683888.00	-1.44	-48.35	48.37	-106.98	-2987.54	2989.45
259683984.00	1.31	47.15	47.17	96.78	2913.50	2915.11
259684080.00	1.27	46.84	46.86	94.25	2894.32	2895.86
259684080.00	1.23	47.04	47.06	90.98	2906.89	2908.31
259684288.00	1.38	46.86	46.88	102.52	2895.54	2897.35
259684288.00	-1.27	-47.03	47.04	-94.05	-2905.81	2907.33
259684400.00	-1.21	-46.62	46.64	-89.53	-2880.93	2882.32
259684496.00	1.25	46.83	46.84	92.30	2893.46	2894.93
259684576.00	-1.25	-46.84	46.86	-92.34	-2894.39	2895.86
259684688.00	1.18	47.28	47.29	87.77	2921.42	2922.74
259684784.00	-1.23	-46.52	46.54	-91.42	-2874.43	2875.88
259684896.00	1.18	46.97	46.98	87.40	2902.11	2903.42
259684976.00	1.26	47.11	47.13	93.40	2910.93	2912.43
259685184.00	-1.31	-46.77	46.79	-96.69	-2889.98	2891.59
259685296.00	1.24	47.06	47.08	92.18	2907.86	2909.32
259685376.00	-1.05	-46.65	46.66	-78.06	-2882.36	2883.41
259685584.00	-1.26	-46.71	46.72	-93.26	-2886.02	2887.53
259685680.00	-1.26	-46.69	46.71	-93.13	-2884.96	2886.46
259685776.00	1.14	46.86	46.87	84.69	2895.26	2896.49
259685888.00	1.42	46.87	46.90	105.34	2896.32	2898.23
259685888.00	1.38	46.91	46.93	102.14	2898.37	2900.17
259685984.00	-1.21	-46.78	46.79	-89.37	-2890.39	2891.77
259686080.00	1.30	46.90	46.92	96.31	2898.19	2899.79
259686176.00	1.28	46.99	47.01	94.60	2903.73	2905.27
259686288.00	-1.44	-46.65	46.67	-106.84	-2882.43	2884.41
259686384.00	-1.26	-46.76	46.78	-93.67	-2889.43	2890.94
259686480.00	-1.22	-46.79	46.81	-90.18	-2891.44	2892.85
259686480.00	-1.42	-46.82	46.85	-105.37	-2893.30	2895.21
259686688.00	-1.39	-46.70	46.72	-102.69	-2885.51	2887.33
259686688.00	1.40	46.81	46.84	103.89	2892.69	2894.55
259686784.00	-1.36	-46.48	46.50	-100.64	-2872.08	2873.84
259686896.00	1.47	47.09	47.12	109.02	2909.91	2911.95
259687088.00	1.18	46.99	47.00	87.34	2903.29	2904.61
259687088.00	1.35	46.82	46.84	99.98	2893.16	2894.89
259687280.00	-1.15	-46.76	46.78	-85.06	-2889.48	2890.73
259687280.00	-1.22	-46.74	46.76	-90.57	-2888.28	2889.70
259687488.00	1.30	46.91	46.92	96.20	2898.31	2899.91
259687488.00	1.35	46.92	46.94	100.04	2899.11	2900.83
259687584.00	1.38	46.84	46.86	102.52	2894.32	2896.14
259687776.00	-1.18	-46.93	46.95	-87.31	-2899.90	2901.21
259687776.00	-1.14	-46.69	46.70	-84.20	-2885.00	2886.23
259687888.00	1.07	46.77	46.78	79.05	2889.85	2890.93
