 # Date of Experiment: 18/01/02014
 # Time of Experiment: 11:01:27
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 240.500
 # AOD ANDOR center y (pixels): 253.778
 # AOD ANDOR range x (pixels): 27.5000
 # AOD ANDOR range y (pixels): 27.2200
 # AOD CCD center x (pixels): 278.500
 # AOD CCD center y (pixels): 370.750
 # AOD CCD range x (pixels): 163.000
 # AOD CCD range y (pixels): 135.000
 # PM ANDOR center x (pixels): 245.889
 # PM ANDOR center y (pixels): 262.250
 # PM ANDOR range x (pixels): 15.2700
 # PM ANDOR range y (pixels): 10.5000
 # PM CCD center x (pixels): 308.250
 # PM CCD center y (pixels): 412.000
 # PM CCD range x (pixels): 92.3333
 # PM CCD range y (pixels): 52.0000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 47.3100
 # CCD pixel size y (nm): 57.1700
 # AOD detector x offset (V): -0.0322060
 # AOD detector y offset (V): -0.0846000
 # AOD trap stiffness x (pN/nm): 0.123303
 # AOD trap stiffness y (pN/nm): 0.126880
 # AOD trap distance conversion x (V/Nm): 0.000695000
 # AOD trap distance conversion y (V/Nm): 0.000802000
 # PM detector x offset (V): -0.0410150
 # PM detector y offset (V): -0.278679
 # PM trap stiffness x (pN/nm): 0.124807
 # PM trap stiffness y (pN/nm): 0.109598
 # PM trap distance conversion x (V/nm): 0.000682000
 # PM trap distance conversion y (V/nm): 0.000604000
 # AOD bead radius (um): 1.05000
 # PM bead radius  (um): 1.05000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force X felt by AOD (pN)	Force X felt by PM  (pN)	Force Y felt by AOD (pN)	Force Y felt by PM  (pN)	Norm of force felt by AOD (pN)	Norm of force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
27070500.000000	27630.142000	10876.913229	0.000000	869.182468	874.114686	-0.319168	-0.493006	-0.097296	-1.279248	0.333669	1.370960	1.768717	2980.087793	0.181156	-0.349741	-0.001995	-0.698813	4.758285	8.421592	-0.043709	-0.285729	2.808840	-0.034005	-0.085215	3.471142	-4.713170	0.583300	-0.009420	-0.090562	-0.237077	-0.865297	-0.055674
27070510.000000	27630.152000	10876.923187	0.000000	873.679423	874.114686	-0.090836	0.084730	-0.146656	-1.063137	0.172508	1.066508	1.768717	2982.222188	0.181156	-0.349741	-0.001995	-0.698095	4.758102	8.418139	-0.040552	-0.284538	2.809200	-0.032718	-0.085527	3.472924	-4.713170	0.583300	-0.009420	-0.089531	-0.236349	-0.865465	-0.054411
27070520.000000	27630.162000	10876.933180	0.000000	871.104397	874.114686	0.092078	-0.694857	0.452781	-1.061685	0.462049	1.268858	1.768717	2984.356584	0.181156	-0.349741	-0.001995	-0.697377	4.758174	8.415102	-0.044812	-0.284530	2.806802	-0.031687	-0.081738	3.470295	-4.713170	0.583300	-0.009420	-0.090099	-0.238340	-0.865001	-0.054771
27070530.000000	27630.172000	10876.943165	0.000000	874.486001	862.952873	0.092078	-0.590912	-0.077046	-1.148602	0.120060	1.291690	1.768717	2984.356584	0.181156	-0.349741	-0.001995	-0.697377	4.758190	8.411561	-0.044244	-0.285009	2.809527	-0.031687	-0.085087	3.467329	-4.713170	0.583300	-0.009420	-0.089795	-0.236445	-0.865625	-0.056113
27070540.000000	27630.182000	10876.953191	0.000000	879.596253	862.952873	0.072208	-0.689001	-0.313561	-1.026846	0.321768	1.236582	1.768717	2986.490980	0.181156	-0.349741	-0.001995	-0.696659	4.757990	8.408244	-0.044780	-0.284338	2.809232	-0.031799	-0.086582	3.471142	-4.713170	0.583300	-0.009420	-0.091313	-0.237436	-0.865153	-0.054979
27070550.000000	27630.192000	10876.963172	0.000000	876.836568	862.952873	0.123303	-0.222347	0.129095	-1.180537	0.178519	1.201294	1.768717	2988.625376	0.181156	-0.349741	-0.001995	-0.695941	4.758062	8.404743	-0.042230	-0.285185	2.808304	-0.031511	-0.083784	3.471869	-4.713170	0.583300	-0.009420	-0.089387	-0.236565	-0.865321	-0.054467
27070560.000000	27630.202000	10876.973192	0.000000	882.275634	862.952873	0.175818	-0.863035	-0.238889	-1.136989	0.296614	1.427436	1.768717	2990.759771	0.181156	-0.349741	-0.001995	-0.695223	4.758254	8.402241	-0.045731	-0.284945	2.808880	-0.031215	-0.086110	3.467257	-4.713170	0.583300	-0.009420	-0.090602	-0.237940	-0.865761	-0.055130
27070570.000000	27630.212000	10876.983166	0.000000	885.532579	900.924972	-0.425440	0.286580	-0.184625	-0.967329	0.463773	1.008888	1.768717	2992.894167	0.181156	-0.349741	-0.001995	-0.694505	4.758038	8.398564	-0.039449	-0.284010	2.808640	-0.034604	-0.085767	3.471238	-4.713170	0.583300	-0.009420	-0.089715	-0.236166	-0.865832	-0.054459
27070580.000000	27630.222000	10876.993215	0.000000	886.404449	900.924972	-0.055353	-0.241379	-0.331280	-1.231344	0.335873	1.254780	1.768717	2995.028563	0.181156	-0.349741	-0.001995	-0.693787	4.758166	8.395495	-0.042334	-0.285465	2.809959	-0.032518	-0.086694	3.469024	-4.713170	0.583300	-0.009420	-0.090898	-0.237357	-0.865960	-0.054915
27070590.000000	27630.232000	10877.003246	0.000000	889.762451	900.924972	0.294863	-0.601160	-0.284452	-1.057330	0.409703	1.216281	1.768717	2997.162958	0.181156	-0.349741	-0.001995	-0.693069	4.757950	8.392306	-0.044300	-0.284506	2.808496	-0.030544	-0.086398	3.475010	-4.713170	0.583300	-0.009420	-0.089699	-0.236222	-0.865105	-0.055946
27070600.000000	27630.242000	10877.013193	0.000000	892.304183	900.924972	-0.147431	-0.517894	-0.227498	-0.962974	0.271093	1.093405	1.768717	2999.297354	0.181156	-0.349741	-0.001995	-0.692351	4.758317	8.388893	-0.043845	-0.283986	2.807673	-0.033037	-0.086038	3.466730	-4.713170	0.583300	-0.009420	-0.090610	-0.237580	-0.865649	-0.054075
27070610.000000	27630.252000	10877.023179	0.000000	887.443215	900.924972	-0.005677	-0.444694	0.260563	-1.308099	0.260625	1.381621	1.768717	3001.431750	0.181156	-0.349741	-0.001995	-0.691633	4.758118	8.385352	-0.043445	-0.285888	2.808376	-0.032238	-0.082953	3.468912	-4.713170	0.583300	-0.009420	-0.089979	-0.236341	-0.866008	-0.053636
27070620.000000	27630.262000	10877.033209	0.000000	892.219808	882.436264	-0.330346	-0.529606	0.162001	-1.103601	0.367930	1.224099	1.768717	3003.566146	0.181156	-0.349741	-0.001995	-0.690916	4.758222	8.382434	-0.043909	-0.284761	2.807889	-0.034068	-0.083576	3.471262	-4.713170	0.583300	-0.009420	-0.089627	-0.237580	-0.865888	-0.055298
27070630.000000	27630.272000	10877.043212	0.000000	904.040248	882.436264	0.243945	-0.648008	-0.710496	-0.796219	0.751208	1.026586	1.768717	3005.700541	0.181156	-0.349741	-0.001995	-0.690198	4.758158	8.378790	-0.044556	-0.283067	2.807921	-0.030831	-0.089091	3.463509	-4.713170	0.583300	-0.009420	-0.089955	-0.236389	-0.865137	-0.054811
27070640.000000	27630.282000	10877.053225	0.000000	893.082351	882.436264	-0.007097	-0.617264	0.120235	-1.279248	0.120445	1.420384	1.768717	3005.700541	0.181156	-0.349741	-0.001995	-0.690198	4.757862	8.376184	-0.044388	-0.285729	2.807633	-0.032246	-0.083840	3.469408	-4.713170	0.583300	-0.009420	-0.090290	-0.237373	-0.865057	-0.054507
27070650.000000	27630.292000	10877.063152	0.000000	897.211819	921.956517	0.251041	-0.191603	-0.193326	-1.331325	0.316854	1.345042	1.768717	3007.834937	0.181156	-0.349741	-0.001995	-0.689480	4.758301	8.372611	-0.042062	-0.286016	2.808576	-0.030791	-0.085822	3.471414	-4.713170	0.583300	-0.009420	-0.090658	-0.236341	-0.865489	-0.054971
27070660.000000	27630.302000	10877.073272	0.000000	900.616262	921.956517	-0.310653	-0.459334	-0.213576	-1.209570	0.376988	1.293850	1.768717	3009.969333	0.181156	-0.349741	-0.001995	-0.688762	4.758166	8.369797	-0.043525	-0.285345	2.809559	-0.033957	-0.085950	3.469240	-4.713170	0.583300	-0.009420	-0.091289	-0.237285	-0.865417	-0.055002
27070670.000000	27630.312000	10877.083273	0.000000	903.166405	921.956517	-0.068127	-0.106873	0.259297	-0.755573	0.268098	0.763094	1.768717	3012.103729	0.181156	-0.349741	-0.001995	-0.688044	4.758110	8.366456	-0.041599	-0.282843	2.807689	-0.032590	-0.082961	3.469296	-4.713170	0.583300	-0.009420	-0.089020	-0.236925	-0.865649	-0.053868
27070680.000000	27630.322000	10877.093150	0.000000	913.648889	921.956517	0.070788	-0.669968	-1.007763	-0.935394	1.010246	1.150573	1.768717	3014.238124	0.181156	-0.349741	-0.001995	-0.687326	4.757998	8.363275	-0.044676	-0.283834	2.807042	-0.031807	-0.090970	3.470878	-4.713170	0.583300	-0.009420	-0.090378	-0.237301	-0.865337	-0.054851
27070690.000000	27630.332000	10877.103275	0.000000	910.727921	921.956517	-0.181495	0.002928	-0.448826	-1.006523	0.484134	1.006528	1.768717	3016.372520	0.181156	-0.349741	-0.001995	-0.686608	4.758070	8.359718	-0.040999	-0.284226	2.807993	-0.033229	-0.087437	3.469487	-4.713170	0.583300	-0.009420	-0.089571	-0.235846	-0.865289	-0.055354
27070700.000000	27630.342000	10877.113256	0.000000	910.916835	909.614178	-0.107868	-0.321900	-0.499452	-1.263280	0.510967	1.303647	1.768717	3018.506916	0.181156	-0.349741	-0.001995	-0.685890	4.758182	8.356665	-0.042774	-0.285641	2.809096	-0.032814	-0.087757	3.466274	-4.713170	0.583300	-0.009420	-0.090266	-0.237588	-0.865553	-0.054395
27070710.000000	27630.352000	10877.123223	0.000000	916.650052	909.614178	0.035483	-0.191603	-0.673951	-1.019588	0.674885	1.037435	1.768717	3020.641311	0.181156	-0.349741	-0.001995	-0.685172	4.758094	8.353172	-0.042062	-0.284298	2.806674	-0.032006	-0.088860	3.466314	-4.713170	0.583300	-0.009420	-0.089443	-0.236557	-0.865009	-0.054659
27070720.000000	27630.362000	10877.133190	0.000000	916.634151	909.614178	0.161625	-0.577736	-0.216107	-0.860090	0.269861	1.036115	1.768717	3022.775707	0.181156	-0.349741	-0.001995	-0.684454	4.758254	8.349887	-0.044172	-0.283419	2.808800	-0.031295	-0.085966	3.473340	-4.713170	0.583300	-0.009420	-0.090051	-0.237165	-0.865217	-0.056841
27070730.000000	27630.372000	10877.143235	0.000000	919.352010	926.761808	0.343119	-0.554311	-0.554981	-1.089085	0.652484	1.222034	1.768717	3024.910103	0.181156	-0.349741	-0.001995	-0.683736	4.758198	8.346809	-0.044044	-0.284681	2.806794	-0.030272	-0.088108	3.468328	-4.713170	0.583300	-0.009420	-0.089491	-0.237221	-0.865049	-0.054739
27070740.000000	27630.382000	10877.153265	0.000000	920.513492	926.761808	-0.282266	0.155002	-0.163109	-0.857187	0.326004	0.871089	1.768717	3027.044499	0.181156	-0.349741	-0.001995	-0.683018	4.758046	8.343900	-0.040168	-0.283403	2.810015	-0.033797	-0.085631	3.469503	-4.713170	0.583300	-0.009420	-0.089331	-0.237197	-0.865824	-0.054531
27070750.000000	27630.392000	10877.163280	0.000000	913.813469	926.761808	0.024128	-0.321900	0.134157	-1.334229	0.136310	1.372511	1.768717	3027.044499	0.181156	-0.349741	-0.001995	-0.683018	4.758214	8.340599	-0.042774	-0.286032	2.809711	-0.032070	-0.083752	3.470311	-4.713170	0.583300	-0.009420	-0.090850	-0.236317	-0.865409	-0.056713
27070760.000000	27630.402000	10877.173174	0.000000	921.504906	926.761808	-0.234010	-0.503254	-0.362763	-1.154408	0.431691	1.259334	1.768717	3029.178894	0.181156	-0.349741	-0.001995	-0.682300	4.757934	8.337362	-0.043765	-0.285041	2.808360	-0.033525	-0.086893	3.470878	-4.713170	0.583300	-0.009420	-0.090354	-0.237333	-0.865177	-0.055634
27070770.000000	27630.412000	10877.183235	0.000000	922.980485	913.338763	-0.278008	-0.634832	-0.361497	-1.225538	0.456036	1.380201	1.768717	3031.313290	0.181156	-0.349741	-0.001995	-0.681582	4.758238	8.334124	-0.044484	-0.285433	2.809975	-0.033773	-0.086885	3.466930	-4.713170	0.583300	-0.009420	-0.089587	-0.236669	-0.865697	-0.054035
27070780.000000	27630.422000	10877.193252	0.000000	930.318134	913.338763	-0.068127	-0.142009	-0.919168	-1.136989	0.921689	1.145823	1.768717	3033.447686	0.181156	-0.349741	-0.001995	-0.680864	4.758126	8.330959	-0.041791	-0.284945	2.808488	-0.032590	-0.090410	3.472740	-4.713170	0.583300	-0.009420	-0.091258	-0.236901	-0.865401	-0.055626
27070790.000000	27630.432000	10877.203311	0.000000	925.967506	913.338763	-0.051095	-0.397845	-0.022623	-1.073298	0.055880	1.144662	1.768717	3035.582081	0.181156	-0.349741	-0.001995	-0.680146	4.758206	8.327706	-0.043189	-0.284594	2.809783	-0.032494	-0.084743	3.467985	-4.713170	0.583300	-0.009420	-0.089315	-0.236917	-0.866112	-0.056105
27070800.000000	27630.442000	10877.213336	0.000000	930.993351	913.338763	0.234010	-0.253091	-0.077046	-0.803477	0.246367	0.842395	1.768717	3037.716477	0.181156	-0.349741	-0.001995	-0.679428	4.758134	8.324669	-0.042398	-0.283107	2.807417	-0.030887	-0.085087	3.474915	-4.713170	0.583300	-0.009420	-0.091234	-0.237077	-0.865944	-0.054395
27070810.000000	27630.452000	10877.223260	0.000000	934.420264	919.130195	0.055353	-0.593840	-0.544856	-1.066040	0.547661	1.220282	1.768717	3039.850873	0.181156	-0.349741	-0.001995	-0.678710	4.757854	8.321447	-0.044260	-0.284554	2.808840	-0.031894	-0.088044	3.467361	-4.713170	0.583300	-0.009420	-0.089851	-0.236773	-0.865513	-0.055314
27070820.000000	27630.462000	10877.233157	0.000000	935.340274	919.130195	-0.131819	-0.371493	-0.389341	-1.064589	0.411051	1.127544	1.768717	3041.985269	0.181156	-0.349741	-0.001995	-0.677992	4.758110	8.318010	-0.043045	-0.284546	2.808728	-0.032949	-0.087061	3.470606	-4.713170	0.583300	-0.009420	-0.090434	-0.237660	-0.865960	-0.057153
27070830.000000	27630.472000	10877.243241	0.000000	936.304586	919.130195	-0.039741	-0.074665	-0.391873	-1.195054	0.393882	1.197384	1.768717	3044.119664	0.181156	-0.349741	-0.001995	-0.677274	4.758325	8.314494	-0.041423	-0.285265	2.807034	-0.032430	-0.087077	3.469599	-4.713170	0.583300	-0.009420	-0.089083	-0.236853	-0.866344	-0.054459
27070840.000000	27630.482000	10877.253222	0.000000	941.873164	919.130195	-0.316330	-0.978509	-0.835794	-1.202312	0.893654	1.550172	1.768717	3046.254060	0.181156	-0.349741	-0.001995	-0.676556	4.757774	8.311344	-0.046362	-0.285305	2.811014	-0.033989	-0.089883	3.472461	-4.713170	0.583300	-0.009420	-0.089995	-0.237724	-0.864626	-0.053452
27070850.000000	27630.492000	10877.263223	0.000000	940.656298	919.130195	0.076466	-0.662648	-0.611935	-1.376326	0.616694	1.527539	1.768717	3048.388456	0.181156	-0.349741	-0.001995	-0.675838	4.758118	8.308355	-0.044636	-0.286264	2.809447	-0.031775	-0.088468	3.467058	-4.713170	0.583300	-0.009420	-0.089971	-0.236509	-0.865976	-0.056002
27070860.000000	27630.502000	10877.273301	0.000000	940.400376	935.092155	-0.266654	-0.157930	-0.443764	-1.258925	0.517717	1.268793	1.768717	3048.388456	0.181156	-0.349741	-0.001995	-0.675838	4.758078	8.304782	-0.041878	-0.285617	2.809783	-0.033709	-0.087405	3.470886	-4.713170	0.583300	-0.009420	-0.090290	-0.237516	-0.866120	-0.053844
27070870.000000	27630.512000	10877.283256	0.000000	945.488331	935.092155	-0.107868	-0.441766	-0.422248	-0.916522	0.435808	1.017433	1.768717	3050.522851	0.181156	-0.349741	-0.001995	-0.675120	4.758190	8.302008	-0.043429	-0.283730	2.810798	-0.032814	-0.087269	3.471901	-4.713170	0.583300	-0.009420	-0.090155	-0.237365	-0.865705	-0.054467
27070880.000000	27630.522000	10877.293266	0.000000	943.555638	935.092155	-0.333184	-0.487150	-0.398201	-1.341487	0.519207	1.427201	1.768717	3052.657247	0.181156	-0.349741	-0.001995	-0.674402	4.758166	8.298779	-0.043677	-0.286072	2.808776	-0.034084	-0.087117	3.467385	-4.713170	0.583300	-0.009420	-0.089995	-0.236725	-0.865137	-0.055546
27070890.000000	27630.532000	10877.303313	0.000000	948.529353	935.092155	0.318991	-0.643616	-0.141593	-0.809283	0.349004	1.034012	1.768717	3054.791643	0.181156	-0.349741	-0.001995	-0.673684	4.758094	8.295294	-0.044532	-0.283139	2.808320	-0.030408	-0.085495	3.467505	-4.713170	0.583300	-0.009420	-0.090378	-0.236094	-0.865784	-0.054963
27070900.000000	27630.542000	10877.313254	0.000000	953.366689	954.701878	0.075046	-0.601160	-0.651170	-0.952813	0.655480	1.126608	1.768717	3056.926039	0.181156	-0.349741	-0.001995	-0.672966	4.758198	8.292497	-0.044300	-0.283930	2.808984	-0.031783	-0.088716	3.469991	-4.713170	0.583300	-0.009420	-0.089331	-0.237692	-0.865401	-0.053812
27070910.000000	27630.552000	10877.323393	0.000000	951.617548	954.701878	0.224074	-0.253091	-0.422248	-1.180537	0.478019	1.207362	1.768717	3059.060434	0.181156	-0.349741	-0.001995	-0.672248	4.758038	8.289100	-0.042398	-0.285185	2.808864	-0.030943	-0.087269	3.471358	-4.713170	0.583300	-0.009420	-0.089131	-0.236837	-0.865745	-0.055242
27070920.000000	27630.562000	10877.333275	0.000000	950.030450	954.701878	-0.279428	-0.611408	-0.121343	-1.328422	0.304637	1.462370	1.768717	3061.194830	0.181156	-0.349741	-0.001995	-0.671530	4.758182	8.285862	-0.044356	-0.286000	2.808688	-0.033781	-0.085367	3.468624	-4.713170	0.583300	-0.009420	-0.090834	-0.237428	-0.865449	-0.055178
27070930.000000	27630.572000	10877.343160	0.000000	955.714311	954.701878	-0.048257	-0.209171	-0.447560	-1.221183	0.450155	1.238967	1.768717	3063.329226	0.181156	-0.349741	-0.001995	-0.670812	4.758341	8.282306	-0.042158	-0.285409	2.805939	-0.032478	-0.087429	3.472117	-4.713170	0.583300	-0.009420	-0.090906	-0.236933	-0.865689	-0.054355
27070940.000000	27630.582000	10877.353251	0.000000	958.626349	942.109001	0.116206	-0.210635	-0.531092	-1.208118	0.543657	1.226343	1.768717	3065.463621	0.181156	-0.349741	-0.001995	-0.670095	4.758022	8.278972	-0.042166	-0.285337	2.808304	-0.031551	-0.087957	3.468472	-4.713170	0.583300	-0.009420	-0.089963	-0.237317	-0.865585	-0.055274
27070950.000000	27630.592000	10877.363330	0.000000	960.275370	942.109001	-0.510599	-0.359781	-0.099827	-0.888941	0.520266	0.958989	1.768717	3067.598017	0.181156	-0.349741	-0.001995	-0.669377	4.758166	8.276031	-0.042981	-0.283578	2.808288	-0.035084	-0.085231	3.470447	-4.713170	0.583300	-0.009420	-0.090778	-0.237277	-0.864106	-0.055242
27070960.000000	27630.602000	10877.373302	0.000000	961.478837	942.109001	0.035483	-0.185746	-0.131468	-1.018136	0.136172	1.034941	1.768717	3069.732413	0.181156	-0.349741	-0.001995	-0.668659	4.758254	8.272658	-0.042030	-0.284290	2.807673	-0.032006	-0.085431	3.469192	-4.713170	0.583300	-0.009420	-0.090610	-0.237013	-0.865177	-0.054795
27070970.000000	27630.612000	10877.383163	0.000000	961.397368	942.109001	0.120464	-0.671432	-0.256608	-1.135537	0.283477	1.319191	1.768717	3069.732413	0.181156	-0.349741	-0.001995	-0.668659	4.758230	8.269541	-0.044684	-0.284937	2.807034	-0.031527	-0.086222	3.470830	-4.713170	0.583300	-0.009420	-0.089675	-0.236270	-0.864546	-0.054851
27070980.000000	27630.622000	10877.393280	0.000000	964.881316	954.026070	-0.137496	-0.624584	-0.434904	-1.141343	0.456121	1.301065	1.768717	3071.866809	0.181156	-0.349741	-0.001995	-0.667941	4.758126	8.266391	-0.044428	-0.284969	2.809343	-0.032981	-0.087349	3.470718	-4.713170	0.583300	-0.009420	-0.090418	-0.237373	-0.865753	-0.056034
27070990.000000	27630.632000	10877.403286	0.000000	964.194519	954.026070	-0.259557	-0.146218	-0.471608	-1.482295	0.538316	1.489489	1.768717	3074.001204	0.181156	-0.349741	-0.001995	-0.667223	4.757766	8.263226	-0.041814	-0.286848	2.808200	-0.033669	-0.087581	3.468984	-4.713170	0.583300	-0.009420	-0.089331	-0.236158	-0.865473	-0.054507
27071000.000000	27630.642000	10877.413332	0.000000	974.744776	954.026070	0.221236	-0.231131	-0.778841	-0.825251	0.809653	0.857007	1.768717	3076.135600	0.181156	-0.349741	-0.001995	-0.666505	4.758246	8.260005	-0.042278	-0.283227	2.804236	-0.030959	-0.089523	3.467002	-4.713170	0.583300	-0.009420	-0.090842	-0.237516	-0.865481	-0.054267
27071010.000000	27630.652000	10877.423209	0.000000	971.533394	954.026070	0.106271	-0.778122	-0.345202	-1.037008	0.361190	1.296479	1.768717	3078.269996	0.181156	-0.349741	-0.001995	-0.665787	4.758206	8.256712	-0.045267	-0.284394	2.806562	-0.031607	-0.086782	3.469599	-4.713170	0.583300	-0.009420	-0.090386	-0.236957	-0.865633	-0.056249
27071020.000000	27630.662000	10877.433418	0.000000	969.109793	980.906820	-0.224074	-0.220883	-0.177031	-1.390842	0.285568	1.408272	1.768717	3080.404391	0.181156	-0.349741	-0.001995	-0.665069	4.757902	8.253635	-0.042222	-0.286344	2.808616	-0.033469	-0.085719	3.468161	-4.713170	0.583300	-0.009420	-0.091353	-0.238188	-0.865872	-0.054315
27071030.000000	27630.672000	10877.443326	0.000000	979.436343	980.906820	0.197107	-0.798618	-0.434904	-0.716379	0.477486	1.072842	1.768717	3082.538787	0.181156	-0.349741	-0.001995	-0.664351	4.758102	8.250381	-0.045379	-0.282627	2.808288	-0.031095	-0.087349	3.468137	-4.713170	0.583300	-0.009420	-0.089723	-0.237133	-0.865537	-0.054675
27071040.000000	27630.682000	10877.453306	0.000000	975.214752	980.906820	0.266476	-0.383205	-0.275592	-1.274893	0.383355	1.331240	1.768717	3084.673183	0.181156	-0.349741	-0.001995	-0.663633	4.758110	8.247080	-0.043109	-0.285705	2.809647	-0.030704	-0.086342	3.469296	-4.713170	0.583300	-0.009420	-0.090298	-0.237061	-0.865633	-0.056098
27071050.000000	27630.692000	10877.463271	0.000000	980.652767	980.906820	-0.228332	-0.719745	-0.471608	-1.082008	0.523975	1.299528	1.768717	3086.807579	0.181156	-0.349741	-0.001995	-0.662915	4.757950	8.243747	-0.044948	-0.284642	2.806978	-0.033493	-0.087581	3.475746	-4.713170	0.583300	-0.009420	-0.090994	-0.236661	-0.865880	-0.054931
27071060.000000	27630.702000	10877.473406	0.000000	983.888800	969.892848	-0.103610	-0.327756	-0.603076	-1.074750	0.611911	1.123615	1.768717	3088.941974	0.181156	-0.349741	-0.001995	-0.662197	4.757982	8.239567	-0.042806	-0.284602	2.808248	-0.032790	-0.088412	3.470934	-4.713170	0.583300	-0.009420	-0.090634	-0.237293	-0.864945	-0.054595
27071070.000000	27630.712000	10877.483446	0.000000	986.730022	969.892848	0.241106	-0.195995	-0.304702	-0.739605	0.388556	0.765134	1.768717	3091.076370	0.181156	-0.349741	-0.001995	-0.661479	4.758357	8.237273	-0.042086	-0.282755	2.808057	-0.030847	-0.086526	3.470734	-4.713170	0.583300	-0.009420	-0.089811	-0.237245	-0.865097	-0.055418
27071080.000000	27630.722000	10877.493317	0.000000	989.037518	969.892848	-0.282266	-0.841075	-0.642310	-1.012330	0.701596	1.316138	1.768717	3093.210766	0.181156	-0.349741	-0.001995	-0.660761	4.757942	8.233844	-0.045611	-0.284258	2.808153	-0.033797	-0.088660	3.468544	-4.713170	0.583300	-0.009420	-0.090986	-0.236829	-0.864985	-0.055706
27071090.000000	27630.732000	10877.503325	0.000000	993.904950	969.892848	-0.408408	-1.000469	-0.771247	-0.590269	0.872708	1.161618	1.768717	3093.210766	0.181156	-0.349741	-0.001995	-0.660761	4.758397	8.230527	-0.046482	-0.281932	2.808232	-0.034508	-0.089475	3.471366	-4.713170	0.583300	-0.009420	-0.091066	-0.236765	-0.864841	-0.054051
27071100.000000	27630.742000	10877.513212	0.000000	986.335183	989.830570	-0.286524	-0.580664	-0.085905	-1.061685	0.299125	1.210102	1.768717	3095.345161	0.181156	-0.349741	-0.001995	-0.660043	4.758038	8.226970	-0.044188	-0.284530	2.808153	-0.033821	-0.085143	3.469575	-4.713170	0.583300	-0.009420	-0.090258	-0.237644	-0.865569	-0.055930
27071110.000000	27630.752000	10877.523306	0.000000	991.253546	989.830570	0.107691	-0.416877	-0.274327	-0.919426	0.294707	1.009520	1.768717	3097.479557	0.181156	-0.349741	-0.001995	-0.659325	4.758198	8.223797	-0.043293	-0.283746	2.806466	-0.031599	-0.086334	3.471598	-4.713170	0.583300	-0.009420	-0.090298	-0.237381	-0.865489	-0.056121
27071120.000000	27630.762000	10877.533373	0.000000	993.427608	989.830570	-0.466600	-0.106873	-0.433639	-1.052975	0.636991	1.058385	1.768717	3099.613953	0.181156	-0.349741	-0.001995	-0.658607	4.757982	8.221087	-0.041599	-0.284482	2.808073	-0.034836	-0.087341	3.471677	-4.713170	0.583300	-0.009420	-0.090394	-0.236677	-0.865129	-0.053955
27071130.000000	27630.772000	10877.543296	0.000000	995.983971	989.830570	-0.334604	-0.497398	-0.484264	-1.050072	0.588618	1.161919	1.768717	3101.748349	0.181156	-0.349741	-0.001995	-0.657889	4.758190	8.217850	-0.043733	-0.284466	2.806346	-0.034092	-0.087661	3.472013	-4.713170	0.583300	-0.009420	-0.090067	-0.236597	-0.865641	-0.055114
27071140.000000	27630.782000	10877.553411	0.000000	1001.412995	1010.311223	-0.192849	-0.275051	-0.756059	-0.923780	0.780267	0.963859	1.768717	3103.882744	0.181156	-0.349741	-0.001995	-0.657171	4.758182	8.214181	-0.042518	-0.283770	2.807129	-0.033293	-0.089379	3.469967	-4.713170	0.583300	-0.009420	-0.090147	-0.237397	-0.865209	-0.055682
27071150.000000	27630.792000	10877.563456	0.000000	1001.734555	1010.311223	-0.236848	-0.220883	-0.556247	-0.949910	0.604572	0.975253	1.768717	3106.017140	0.181156	-0.349741	-0.001995	-0.656453	4.758230	8.211479	-0.042222	-0.283914	2.806098	-0.033541	-0.088116	3.470231	-4.713170	0.583300	-0.009420	-0.090938	-0.236597	-0.865401	-0.054091
27071160.000000	27630.802000	10877.573311	0.000000	1004.943497	1010.311223	0.070788	-0.921595	-0.450092	-0.741057	0.455624	1.182583	1.768717	3108.151536	0.181156	-0.349741	-0.001995	-0.655735	4.758070	8.207882	-0.046051	-0.282763	2.807913	-0.031807	-0.087445	3.472685	-4.713170	0.583300	-0.009420	-0.089587	-0.237860	-0.865353	-0.053868
27071170.000000	27630.812000	10877.583306	0.000000	1003.617369	1010.311223	-0.360151	-0.260411	-0.686607	-1.324067	0.775331	1.349432	1.768717	3110.285931	0.181156	-0.349741	-0.001995	-0.655017	4.757934	8.204374	-0.042438	-0.285976	2.808728	-0.034236	-0.088940	3.471110	-4.713170	0.583300	-0.009420	-0.089771	-0.237061	-0.865481	-0.056513
