 # Date of Experiment: 18/01/02014
 # Time of Experiment: 11:01:27
 # Laser Diode Temp (C): 0.00000
 # Laser Diode Operating Hours (h): 0.00000
 # Laser Diode Current (A): 0.00000
 # AOD ANDOR center x (pixels): 240.500
 # AOD ANDOR center y (pixels): 253.778
 # AOD ANDOR range x (pixels): 27.5000
 # AOD ANDOR range y (pixels): 27.2200
 # AOD CCD center x (pixels): 278.500
 # AOD CCD center y (pixels): 370.750
 # AOD CCD range x (pixels): 163.000
 # AOD CCD range y (pixels): 135.000
 # PM ANDOR center x (pixels): 245.889
 # PM ANDOR center y (pixels): 262.250
 # PM ANDOR range x (pixels): 15.2700
 # PM ANDOR range y (pixels): 10.5000
 # PM CCD center x (pixels): 308.250
 # PM CCD center y (pixels): 412.000
 # PM CCD range x (pixels): 92.3333
 # PM CCD range y (pixels): 52.0000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 47.3100
 # CCD pixel size y (nm): 57.1700
 # AOD detector x offset (V): -0.0322060
 # AOD detector y offset (V): -0.0846000
 # AOD trap stiffness x (pN/nm): 0.123303
 # AOD trap stiffness y (pN/nm): 0.126880
 # AOD trap distance conversion x (V/Nm): 0.000695000
 # AOD trap distance conversion y (V/Nm): 0.000802000
 # PM detector x offset (V): -0.0410150
 # PM detector y offset (V): -0.278679
 # PM trap stiffness x (pN/nm): 0.124807
 # PM trap stiffness y (pN/nm): 0.109598
 # PM trap distance conversion x (V/nm): 0.000682000
 # PM trap distance conversion y (V/nm): 0.000604000
 # AOD bead radius (um): 1.05000
 # PM bead radius  (um): 1.05000
 # Sample rate (Hz): 1000
 # Number of samples (int): 10
 # Delta time (s): 0.0100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force X felt by AOD (pN)	Force X felt by PM  (pN)	Force Y felt by AOD (pN)	Force Y felt by PM  (pN)	Norm of force felt by AOD (pN)	Norm of force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)
27057570.000000	27617.118000	10863.888682	0.000000	2945.538885	3008.362186	0.209881	0.228203	0.151876	0.294499	0.259069	0.372567	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757822	4.972302	-0.039768	-0.277056	2.793038	-0.031023	-0.083640	3.462941	-4.713170	0.583300	-0.009420	-0.092952	-0.239235	-0.866152	-0.053284
27057580.000000	27617.128000	10863.898639	0.000000	2943.929566	3008.362186	0.246783	-0.272123	-0.030217	-0.039194	0.248626	0.274931	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758014	4.972366	-0.042502	-0.278895	2.795612	-0.030815	-0.084791	3.459361	-4.713170	0.583300	-0.009420	-0.093136	-0.241081	-0.865968	-0.053995
27057590.000000	27617.138000	10863.908680	0.000000	2945.594736	2989.330453	-0.283686	-0.299939	-0.128937	0.058065	0.311612	0.305508	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758094	4.972462	-0.042654	-0.278359	2.795708	-0.033805	-0.085415	3.461159	-4.713170	0.583300	-0.009420	-0.092488	-0.240194	-0.866312	-0.054539
27057600.000000	27617.148000	10863.918617	0.000000	2945.172695	2989.330453	-0.164463	-0.074665	-0.071983	0.060968	0.179526	0.096395	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758190	4.972278	-0.041423	-0.278343	2.795236	-0.033133	-0.085055	3.461607	-4.713170	0.583300	-0.009420	-0.093471	-0.240753	-0.865705	-0.052501
27057610.000000	27617.158000	10863.928711	0.000000	2945.847037	2989.330453	0.253880	0.424197	-0.077046	0.130465	0.265313	0.443807	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757806	4.972534	-0.038697	-0.277960	2.792974	-0.030775	-0.085087	3.461639	-4.713170	0.583300	-0.009420	-0.092976	-0.239922	-0.865633	-0.053947
27057620.000000	27617.168000	10863.938712	0.000000	2943.458295	2989.330453	0.323249	0.220883	-0.012498	-0.075485	0.323491	0.233425	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758094	4.972294	-0.039808	-0.279095	2.794045	-0.030384	-0.084679	3.460448	-4.713170	0.583300	-0.009420	-0.093296	-0.241065	-0.865912	-0.054587
27057630.000000	27617.178000	10863.948787	0.000000	2941.841980	3006.699275	0.209881	-0.345324	0.108845	-0.147885	0.236426	0.375657	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757806	4.972254	-0.042902	-0.279494	2.794877	-0.031023	-0.083912	3.462166	-4.713170	0.583300	-0.009420	-0.092704	-0.239579	-0.865976	-0.052860
27057640.000000	27617.188000	10863.958702	0.000000	2945.647753	3006.699275	-0.185753	-0.387597	-0.328749	-0.108691	0.377598	0.402548	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757918	4.972246	-0.043133	-0.279278	2.795100	-0.033253	-0.086678	3.463013	-4.713170	0.583300	-0.009420	-0.094247	-0.240690	-0.865585	-0.053636
27057650.000000	27617.198000	10863.968728	0.000000	2944.839082	3006.699275	-0.202785	0.011712	0.111376	0.182724	0.231357	0.183099	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757846	4.972222	-0.040951	-0.277672	2.794045	-0.033349	-0.083896	3.460919	-4.713170	0.583300	-0.009420	-0.093208	-0.240266	-0.866048	-0.054667
27057660.000000	27617.208000	10863.978604	0.000000	2940.426856	3006.699275	0.000000	-0.251627	0.073407	-0.333512	0.073407	0.417787	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758118	4.972214	-0.042390	-0.280517	2.792695	-0.032206	-0.084136	3.463565	-4.713170	0.583300	-0.009420	-0.093256	-0.240977	-0.865753	-0.053452
27057670.000000	27617.218000	10863.988736	0.000000	2945.798919	3013.132333	-0.157367	0.409557	-0.184625	0.031936	0.242591	0.410801	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757702	4.972318	-0.038777	-0.278503	2.794285	-0.033093	-0.085767	3.465067	-4.713170	0.583300	-0.009420	-0.092440	-0.239682	-0.866304	-0.053252
27057680.000000	27617.228000	10863.998808	0.000000	2945.053694	3013.132333	-0.082320	-0.083449	0.102517	0.198692	0.131477	0.215504	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758214	4.972206	-0.041471	-0.277584	2.792639	-0.032670	-0.083952	3.464164	-4.713170	0.583300	-0.009420	-0.092944	-0.241241	-0.865361	-0.054427
27057690.000000	27617.238000	10864.008790	0.000000	2945.316158	3013.132333	0.236848	-0.048312	-0.313561	-0.131917	0.392960	0.140485	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757950	4.972366	-0.041279	-0.279406	2.792703	-0.030871	-0.086582	3.461655	-4.713170	0.583300	-0.009420	-0.091553	-0.239163	-0.866144	-0.053436
27057700.000000	27617.248000	10864.018756	0.000000	2940.815079	3013.132333	0.147431	-0.039528	0.239047	-0.147885	0.280855	0.153076	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.757990	4.972302	-0.041231	-0.279494	2.794837	-0.031375	-0.083089	3.464116	-4.713170	0.583300	-0.009420	-0.092752	-0.241217	-0.865936	-0.053156
27057710.000000	27617.258000	10864.028758	0.000000	2946.815878	2994.600252	0.360151	-0.111265	0.036703	0.334963	0.362017	0.352959	1.768717	5044.048450	0.181156	-0.349741	-0.001995	-0.004541	4.758046	4.972310	-0.041623	-0.276833	2.793062	-0.030176	-0.084368	3.461023	-4.713170	0.583300	-0.009420	-0.091881	-0.239443	-0.865561	-0.054891
