 # Date of Experiment: 20/03/02013
 # Time of Experiment: 10:03:29
 # Laser Diode Temp (C): 23.6300
 # Laser Diode Operating Hours (h): 19306.1
 # Laser Diode Current (A): 13.0000
 # AOD ANDOR center x (pixels): 268.708
 # AOD ANDOR center y (pixels): 265.323
 # AOD ANDOR range x (pixels): 24.8333
 # AOD ANDOR range y (pixels): 24.7083
 # AOD CCD center x (pixels): 298.188
 # AOD CCD center y (pixels): 291.125
 # AOD CCD range x (pixels): 93.7500
 # AOD CCD range y (pixels): 110.750
 # PM ANDOR center x (pixels): 272.906
 # PM ANDOR center y (pixels): 271.688
 # PM ANDOR range x (pixels): 14.3750
 # PM ANDOR range y (pixels): 9.25000
 # PM CCD center x (pixels): 310.500
 # PM CCD center y (pixels): 324.500
 # PM CCD range x (pixels): 53.0000
 # PM CCD range y (pixels): 42.5000
 # ANDOR pixel size x (nm): 293.940
 # ANDOR pixel size y (nm): 288.530
 # CCD pixel size x (nm): 74.1000
 # CCD pixel size y (nm): 61.6000
 # AOD detector x offset (V): -0.165608
 # AOD detector y offset (V): 0.725181
 # AOD trap stiffness x (pN/nm): 0.166681
 # AOD trap stiffness y (pN/nm): 0.163667
 # AOD trap distance conversion x (V/Nm): 0.00102400
 # AOD trap distance conversion y (V/Nm): 0.00108100
 # PM detector x offset (V): -0.0493670
 # PM detector y offset (V): 0.0642740
 # PM trap stiffness x (pN/nm): 0.194668
 # PM trap stiffness y (pN/nm): 0.158991
 # PM trap distance conversion x (V/nm): 0.000937000
 # PM trap distance conversion y (V/nm): 0.000821000
 # AOD bead radius (um): 1.01500
 # PM bead radius  (um): 1.08000
 # Sample rate (Hz): 1000
 # Number of samples (int): 1
 # Delta time (s): 0.00100000

Message index (int)	Time sent (s)	Time received (s)	Experiment Phase (int)	Extension from Trap and PSD positions (nm)	Extension from image measurements (nm)	Force felt by AOD (pN)	Force felt by PM  (pN)	AOD to PM vector x (nm)	AOD to PM vector y (nm)	AODx (V)	AODy (V)	PMx (V)	PMy (V)	PMsensorx (V)	PMsensory (V)	PMxdiff (V)	PMydiff (V)	PMxsum (V)	AODxdiff (V)	AODydiff (V)	AODxsum (V)	StageX (mm)	StageY (mm)	StageZ (mm)	FBx (V)	FBy (V)	FBsum (V)	Pressure (a.u.)	
34295870.000000	59591.778000	28723.807389	0.000000	2159.137723	2055.498776	0.757018	2.100170	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.880608	-0.058158	0.069628	3.359815	-0.163690	0.729736	3.984282	-5.653890	-0.357670	0.076070	0.000421	-0.079495	-0.538374	-0.053363	
34295870.000000	59591.780000	28723.809380	0.000000	2156.690949	2055.498776	1.280576	1.181156	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.881087	-0.044572	0.067551	3.355579	-0.157776	0.724382	3.970536	-5.653890	-0.357670	0.076070	-0.002296	-0.084050	-0.537415	-0.052883	
34295870.000000	59591.782000	28723.812155	0.000000	2163.193183	2055.498776	0.699891	1.064156	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.880928	-0.052883	0.060278	3.359575	-0.162651	0.721825	3.984362	-5.653890	-0.357670	0.076070	0.000741	-0.079975	-0.537974	-0.053762	
34295870.000000	59591.784000	28723.814136	0.000000	2157.063834	2055.498776	1.087406	0.881934	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.881167	-0.053283	0.062516	3.352223	-0.164249	0.718149	3.983403	-5.653890	-0.357670	0.076070	0.004976	-0.080774	-0.538454	-0.051605	
34295870.000000	59591.786000	28723.815878	0.000000	2152.498012	2055.498776	1.162921	1.369801	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616802	2.880928	-0.051205	0.071067	3.348867	-0.158495	0.724462	3.987558	-5.653890	-0.357670	0.076070	0.002259	-0.078696	-0.538773	-0.050566	
34295870.000000	59591.788000	28723.817613	0.000000	2151.948954	2055.498776	1.659940	0.745248	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617041	2.880768	-0.052723	0.065633	3.361254	-0.159134	0.716710	3.974931	-5.653890	-0.357670	0.076070	0.000101	-0.080694	-0.537894	-0.050246	
34295870.000000	59591.789000	28723.819228	0.000000	2152.169106	2055.498776	2.552344	0.153703	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.880928	-0.050006	0.064674	3.364770	-0.152661	0.715671	3.976130	-5.653890	-0.357670	0.076070	-0.001177	-0.080294	-0.538773	-0.049687	
34295870.000000	59591.791000	28723.820694	0.000000	2163.258090	2028.901107	1.473355	0.708926	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.881007	-0.048728	0.067870	3.351823	-0.159055	0.731894	3.979886	-5.653890	-0.357670	0.076070	-0.002616	-0.081174	-0.539253	-0.049207	
34295870.000000	59591.792000	28723.821293	0.000000	2163.258090	2028.901107	1.473355	0.708926	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.881007	-0.048728	0.067870	3.351823	-0.159055	0.731894	3.979886	-5.653890	-0.357670	0.076070	-0.002616	-0.081174	-0.539253	-0.049207	
34295870.000000	59591.793000	28723.822895	0.000000	2166.473902	2028.901107	0.764992	0.407907	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617361	2.880928	-0.050326	0.062436	3.360614	-0.161852	0.728218	3.979327	-5.653890	-0.357670	0.076070	-0.000618	-0.079655	-0.538454	-0.052084	
34295880.000000	59591.795000	28723.824978	0.000000	2145.885058	2028.901107	1.517963	1.331926	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617681	2.880848	-0.049127	0.071147	3.362532	-0.159694	0.717429	3.977169	-5.653890	-0.357670	0.076070	0.004337	-0.080135	-0.539573	-0.050725	
34295880.000000	59591.797000	28723.827206	0.000000	2146.859053	2028.901107	2.746903	2.027766	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617361	2.880688	-0.040097	0.067551	3.354301	-0.152501	0.713753	3.981165	-5.653890	-0.357670	0.076070	0.001300	-0.080294	-0.537255	-0.050646	
34295880.000000	59591.799000	28723.828596	0.000000	2148.693979	2028.901107	2.493081	2.201030	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617441	2.881007	-0.043453	0.073704	3.361973	-0.150344	0.723823	3.984601	-5.653890	-0.357670	0.076070	0.003937	-0.081014	-0.538374	-0.050805	
34295880.000000	59591.801000	28723.830351	0.000000	2161.249313	2028.901107	1.458246	0.996675	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.880688	-0.044572	0.064114	3.355100	-0.156657	0.724782	3.980046	-5.653890	-0.357670	0.076070	0.000741	-0.081893	-0.538374	-0.050885	
34295880.000000	59591.803000	28723.832116	0.000000	2157.276142	2028.901107	0.871175	1.111578	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880928	-0.050566	0.069868	3.359415	-0.160973	0.728058	3.980446	-5.653890	-0.357670	0.076070	0.002259	-0.082053	-0.537894	-0.051045	
34295880.000000	59591.804000	28723.835890	0.000000	2157.276142	2028.901107	0.871175	1.111578	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880928	-0.050566	0.069868	3.359415	-0.160973	0.728058	3.980446	-5.653890	-0.357670	0.076070	0.002259	-0.082053	-0.537894	-0.051045	
34295880.000000	59591.805000	28723.836027	0.000000	2164.004125	2028.901107	0.521432	0.305433	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616802	2.880928	-0.049766	0.062756	3.364850	-0.168724	0.725980	3.980046	-5.653890	-0.357670	0.076070	0.000980	-0.079815	-0.538294	-0.050725	
34295880.000000	59591.806000	28723.836047	0.000000	2164.004125	2028.901107	0.521432	0.305433	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616802	2.880928	-0.049766	0.062756	3.364850	-0.168724	0.725980	3.980046	-5.653890	-0.357670	0.076070	0.000980	-0.079815	-0.538294	-0.050725	
34295880.000000	59591.808000	28723.837836	0.000000	2160.189649	2028.901107	1.561383	0.771474	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.881007	-0.047769	0.060678	3.357418	-0.157856	0.719107	3.968218	-5.653890	-0.357670	0.076070	-0.002696	-0.080215	-0.538134	-0.052244	
34295880.000000	59591.810000	28723.838840	0.000000	2163.043499	2028.901107	0.752012	0.295093	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617201	2.881007	-0.050406	0.065313	3.357418	-0.162011	0.728298	3.988677	-5.653890	-0.357670	0.076070	-0.002696	-0.080215	-0.538134	-0.052244	
34295890.000000	59591.811000	28723.840197	0.000000	2157.331726	2028.901107	1.415191	0.879986	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617361	2.880848	-0.053602	0.064194	3.354700	-0.158016	0.720626	3.985241	-5.653890	-0.357670	0.076070	0.004257	-0.080135	-0.542769	-0.054082	
34295890.000000	59591.813000	28723.842118	0.000000	2153.896788	2028.901107	1.187238	2.226125	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.881167	-0.041455	0.072026	3.356538	-0.158575	0.727259	3.971815	-5.653890	-0.357670	0.076070	-0.002216	-0.078057	-0.534618	-0.051285	
34295890.000000	59591.814000	28723.842861	0.000000	2153.896788	2028.901107	1.187238	2.226125	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617121	2.881167	-0.041455	0.072026	3.356538	-0.158575	0.727259	3.971815	-5.653890	-0.357670	0.076070	-0.002216	-0.078057	-0.534618	-0.051285	
34295890.000000	59591.815000	28723.844208	0.000000	2157.221559	2028.901107	0.512394	1.170342	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617361	2.880768	-0.048648	0.070268	3.359415	-0.166007	0.728538	3.973093	-5.653890	-0.357670	0.076070	-0.000618	-0.080614	-0.535017	-0.052564	
34295890.000000	59591.817000	28723.846840	0.000000	2154.628171	2028.901107	1.254926	0.497716	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617441	2.880688	-0.050006	0.066751	3.357737	-0.172321	0.721105	3.968138	-5.653890	-0.357670	0.076070	-0.001897	-0.080135	-0.538454	-0.050885	
34295890.000000	59591.819000	28723.848384	0.000000	2148.594726	2028.901107	2.979832	1.083308	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.881087	-0.049367	0.069868	3.358776	-0.148346	0.718628	3.977409	-5.653890	-0.357670	0.076070	0.002659	-0.079176	-0.538694	-0.050805	
34295890.000000	59591.821000	28723.850904	0.000000	2157.271465	2028.901107	1.355664	1.741707	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616722	2.881167	-0.056639	0.068749	3.358776	-0.157376	0.726540	3.990915	-5.653890	-0.357670	0.076070	0.004736	-0.084050	-0.540052	-0.051924	
34295890.000000	59591.824000	28723.853911	0.000000	2154.406153	2023.754156	0.212644	1.516458	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.617361	2.881007	-0.053363	0.070827	3.354381	-0.164729	0.726220	3.988677	-5.653890	-0.357670	0.076070	-0.000059	-0.077577	-0.540132	-0.048967	
34295890.000000	59591.826000	28723.855662	0.000000	2166.205590	2023.754156	1.654991	0.867152	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.881167	-0.050166	0.059879	3.358137	-0.155458	0.724542	3.972374	-5.653890	-0.357670	0.076070	0.002738	-0.080854	-0.540612	-0.049447	
34295890.000000	59591.828000	28723.857618	0.000000	2159.036504	2023.754156	1.819549	0.827551	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616961	2.880768	-0.052963	0.062436	3.357258	-0.155458	0.720146	3.972214	-5.653890	-0.357670	0.076070	-0.003255	-0.081413	-0.539413	-0.048887	
34295900.000000	59591.830000	28723.860125	0.000000	2166.132523	2023.754156	1.561258	1.183772	4.534289	4191.415592	-0.005808	-0.152388	-0.241430	0.418599	3.616881	2.880688	-0.055041	0.063715	3.355420	-0.156897	0.729497	3.974612	-5.653890	-0.357670	0.076070	-0.002696	-0.082292	-0.536696	-0.049447	
