# Date of Experiment: 5/19/2013	2:34 AM

# yOffsetT2.V:  0.384392
# xOffsetT2.V: -0.183561
# yCornerFreqT2.Hz 651.121403
# xCornerFreqT2.Hz: 787.229555
# yStiffnessT2.pNperNm: 0.077116
# xStiffnessT2.pNperNm: 0.093236
# yDistConversionT2.VperNm: 0.000606
# xDistConversionT2.VperNm: 0.000625

# yOffsetT1.V:  0.016076
# xOffsetT1.V: -0.119340
# yCornerFreqT1.Hz 618.791988
# xCornerFreqT1.Hz: 911.026211
# yStiffnessT1.pNperNm: 0.079150
# xStiffnessT1.pNperNm: 0.116529
# yDistConversionT1.VperNm: 0.000695
# xDistConversionT1.VperNm: 0.000854

# diameterT1.um: 2.160000
# diameterT2.um: 2.000000

# zOffsetT1.V: -3.169847
# zOffsetT2.V: -3.191267

# sampleRate.Hz: 80000.000000
# nSamples: 1048576.000000
# nBlocks: 128.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 
3.540039E+2	1.433254E-8	1.456888E-8	1.114268E-8	1.716790E-8	1.443866E-8	1.783733E-8	9.441469E-9	1.326747E-8	6.754074E-9	4.065106E-8
3.662109E+2	1.456536E-8	1.432578E-8	1.025473E-8	1.454769E-8	1.430699E-8	1.753401E-8	9.331357E-9	1.305846E-8	7.220191E-9	3.419790E-8
3.784180E+2	1.550370E-8	1.645203E-8	1.014082E-8	1.326285E-8	1.417336E-8	1.723107E-8	9.220182E-9	1.284917E-8	7.004270E-9	3.629761E-8
3.906250E+2	1.630296E-8	1.457350E-8	1.056700E-8	1.499040E-8	1.403794E-8	1.692899E-8	9.108108E-9	1.263995E-8	5.632216E-9	3.593676E-8
4.028320E+2	1.586560E-8	1.384256E-8	1.047376E-8	1.476788E-8	1.390091E-8	1.662822E-8	8.995297E-9	1.243112E-8	4.969535E-9	2.857648E-8
4.150391E+2	1.335343E-8	1.394689E-8	1.076503E-8	1.407361E-8	1.376244E-8	1.632919E-8	8.881902E-9	1.222295E-8	4.889358E-9	2.501962E-8
4.272461E+2	1.226456E-8	1.365210E-8	9.105018E-9	1.197857E-8	1.362268E-8	1.603226E-8	8.768073E-9	1.201574E-8	5.750153E-9	3.077828E-8
4.394531E+2	1.423176E-8	1.247468E-8	8.009976E-9	1.088052E-8	1.348181E-8	1.573780E-8	8.653950E-9	1.180973E-8	5.472066E-9	3.507923E-8
4.516602E+2	1.522071E-8	1.392670E-8	7.884854E-9	1.146739E-8	1.333997E-8	1.544611E-8	8.539669E-9	1.160516E-8	5.229837E-9	3.160585E-8
4.638672E+2	1.503843E-8	1.155822E-8	8.315686E-9	1.079553E-8	1.319733E-8	1.515748E-8	8.425358E-9	1.140223E-8	4.820908E-9	2.805776E-8
4.760742E+2	1.375839E-8	1.168632E-8	7.314218E-9	1.135801E-8	1.305401E-8	1.487216E-8	8.311140E-9	1.120114E-8	4.387738E-9	2.337611E-8
4.882812E+2	1.199072E-8	1.449433E-8	6.898952E-9	1.099893E-8	1.291018E-8	1.459038E-8	8.197129E-9	1.100207E-8	3.671620E-9	1.839684E-8
5.004883E+2	1.175900E-8	1.405195E-8	7.189923E-9	1.001210E-8	1.276596E-8	1.431235E-8	8.083435E-9	1.080518E-8	3.601807E-9	2.227023E-8
5.126953E+2	1.196428E-8	1.067421E-8	7.883307E-9	1.090332E-8	1.262148E-8	1.403823E-8	7.970160E-9	1.061060E-8	3.171787E-9	1.971137E-8
5.249023E+2	1.349898E-8	1.116981E-8	8.410413E-9	8.948907E-9	1.247687E-8	1.376818E-8	7.857398E-9	1.041847E-8	3.269999E-9	1.661853E-8
5.371094E+2	1.174435E-8	1.292106E-8	7.490041E-9	7.970563E-9	1.233225E-8	1.350233E-8	7.745241E-9	1.022889E-8	3.490110E-9	1.638008E-8
5.493164E+2	1.237327E-8	1.122853E-8	7.454680E-9	8.748832E-9	1.218774E-8	1.324078E-8	7.633770E-9	1.004196E-8	3.503875E-9	1.570130E-8
5.615234E+2	1.150938E-8	1.029078E-8	7.943721E-9	1.004313E-8	1.204344E-8	1.298363E-8	7.523064E-9	9.857765E-9	2.947449E-9	1.831678E-8
5.737305E+2	1.161006E-8	1.096588E-8	7.311362E-9	9.292225E-9	1.189945E-8	1.273095E-8	7.413194E-9	9.676375E-9	2.642052E-9	1.778812E-8
5.859375E+2	1.229642E-8	1.066670E-8	7.903689E-9	8.822883E-9	1.175588E-8	1.248279E-8	7.304226E-9	9.497849E-9	2.992529E-9	1.605009E-8
5.981445E+2	1.190062E-8	1.051560E-8	7.885508E-9	8.578584E-9	1.161282E-8	1.223919E-8	7.196221E-9	9.322236E-9	2.620741E-9	1.477316E-8
6.103516E+2	1.123171E-8	1.013904E-8	6.844669E-9	8.577231E-9	1.147035E-8	1.200018E-8	7.089233E-9	9.149574E-9	2.803731E-9	1.230883E-8
6.225586E+2	1.050459E-8	9.887718E-9	7.672147E-9	7.558648E-9	1.132857E-8	1.176578E-8	6.983313E-9	8.979893E-9	2.267187E-9	1.441327E-8
6.347656E+2	1.096044E-8	9.502187E-9	7.845819E-9	7.557389E-9	1.118754E-8	1.153598E-8	6.878506E-9	8.813213E-9	2.731504E-9	1.526033E-8
6.469727E+2	1.004838E-8	9.875492E-9	7.716153E-9	8.283137E-9	1.104734E-8	1.131077E-8	6.774854E-9	8.649548E-9	2.589918E-9	1.395934E-8
6.591797E+2	9.704998E-9	9.684651E-9	6.531289E-9	8.163839E-9	1.090804E-8	1.109015E-8	6.672393E-9	8.488902E-9	2.530154E-9	1.199598E-8
6.713867E+2	1.052960E-8	9.388306E-9	6.129268E-9	7.111564E-9	1.076971E-8	1.087408E-8	6.571154E-9	8.331276E-9	2.359320E-9	1.031954E-8
6.835937E+2	9.033223E-9	1.020800E-8	5.902750E-9	7.473795E-9	1.063239E-8	1.066253E-8	6.471167E-9	8.176661E-9	2.127078E-9	1.206612E-8
6.958008E+2	1.041836E-8	1.002027E-8	5.434607E-9	6.954964E-9	1.049615E-8	1.045546E-8	6.372457E-9	8.025046E-9	1.702569E-9	1.136806E-8
7.080078E+2	1.269407E-8	1.033941E-8	5.677165E-9	6.593500E-9	1.036104E-8	1.025282E-8	6.275044E-9	7.876414E-9	1.877304E-9	1.054448E-8
7.202148E+2	1.183500E-8	8.126576E-9	6.748471E-9	6.119864E-9	1.022710E-8	1.005457E-8	6.178946E-9	7.730742E-9	1.906401E-9	9.456545E-9
7.324219E+2	1.054121E-8	6.766598E-9	5.913860E-9	5.989144E-9	1.009438E-8	9.860633E-9	6.084179E-9	7.588005E-9	1.902292E-9	8.943551E-9
7.446289E+2	1.091168E-8	8.033784E-9	6.468930E-9	6.384894E-9	9.962919E-9	9.670964E-9	5.990753E-9	7.448174E-9	1.785757E-9	8.575287E-9
7.568359E+2	9.506542E-9	8.657751E-9	6.079448E-9	6.019325E-9	9.832745E-9	9.485495E-9	5.898679E-9	7.311217E-9	2.007323E-9	7.529957E-9
7.690430E+2	1.011187E-8	7.992694E-9	5.978279E-9	6.420346E-9	9.703893E-9	9.304159E-9	5.807963E-9	7.177099E-9	1.860559E-9	6.387194E-9
7.812500E+2	9.757023E-9	8.481980E-9	6.409214E-9	5.945443E-9	9.576393E-9	9.126887E-9	5.718609E-9	7.045781E-9	1.623938E-9	6.240937E-9
7.934570E+2	1.013965E-8	7.962031E-9	5.873392E-9	7.917305E-9	9.450270E-9	8.953608E-9	5.630620E-9	6.917226E-9	1.490361E-9	6.784947E-9
8.056641E+2	8.719279E-9	6.960191E-9	4.502843E-9	7.545054E-9	9.325546E-9	8.784248E-9	5.543994E-9	6.791391E-9	1.447270E-9	7.646044E-9
8.178711E+2	8.676266E-9	7.377289E-9	4.559112E-9	7.142970E-9	9.202242E-9	8.618733E-9	5.458731E-9	6.668233E-9	1.312698E-9	6.800887E-9
8.300781E+2	8.420578E-9	8.186342E-9	4.351221E-9	6.190329E-9	9.080373E-9	8.456989E-9	5.374826E-9	6.547709E-9	1.393829E-9	6.485479E-9
