# Date of Experiment: 18/06/2014	23:01

# yOffsetT2.V:  -0.087350
# xOffsetT2.V: -0.079108
# yCornerFreqT2.Hz 1020.289646
# xCornerFreqT2.Hz: 991.525568
# yStiffnessT2.pNperNm: 0.126880
# xStiffnessT2.pNperNm: 0.123303
# yDistConversionT2.VperNm: 0.000802
# xDistConversionT2.VperNm: 0.000695

# yOffsetT1.V:  -0.277767
# xOffsetT1.V: -0.039478
# yCornerFreqT1.Hz 881.315495
# xCornerFreqT1.Hz: 1003.621901
# yStiffnessT1.pNperNm: 0.109598
# xStiffnessT1.pNperNm: 0.124807
# yDistConversionT1.VperNm: 0.000604
# xDistConversionT1.VperNm: 0.000682

# diameterT1.um: 2.100000
# diameterT2.um: 2.100000

# zOffsetT1.V: -2.790585
# zOffsetT2.V: -3.464340

# sampleRate.Hz: 80000.000000
# nSamples: 524288.000000
# nBlocks: 64.000000
                                                                                                                                                                                                                       
freq 	 xPsdT1 	 yPsdT1  	 xPsdT2 	 yPsdT2 	 xFitT1 	 yFitT1 	 xFitT2 	 yFitT2 	 zPsdT1 	 zPsdT2 
2.832031E+2	1.010088E-8	9.704809E-9	9.275605E-9	1.384378E-8	8.347166E-9	8.431039E-9	8.610797E-9	1.148199E-8	6.905323E-9	1.321092E-8
2.929687E+2	9.951525E-9	7.912515E-9	7.445381E-9	1.371585E-8	8.304199E-9	8.376041E-9	8.565473E-9	1.142466E-8	7.687435E-9	1.271023E-8
3.027344E+2	1.148215E-8	7.891196E-9	7.815656E-9	1.333862E-8	8.260238E-9	8.319928E-9	8.519110E-9	1.136598E-8	7.492455E-9	1.098412E-8
3.125000E+2	9.214810E-9	8.213875E-9	8.188957E-9	1.101759E-8	8.215322E-9	8.262758E-9	8.471752E-9	1.130601E-8	6.608799E-9	8.341423E-9
3.222656E+2	6.663575E-9	8.917083E-9	9.316248E-9	1.062296E-8	8.169489E-9	8.204592E-9	8.423438E-9	1.124479E-8	6.860244E-9	8.555029E-9
3.320312E+2	7.750295E-9	9.395488E-9	1.008593E-8	1.154131E-8	8.122777E-9	8.145486E-9	8.374212E-9	1.118238E-8	6.008387E-9	9.882823E-9
3.417969E+2	1.037599E-8	7.456125E-9	9.268932E-9	1.086707E-8	8.075227E-9	8.085500E-9	8.324114E-9	1.111882E-8	5.099822E-9	9.779272E-9
3.515625E+2	9.819690E-9	6.511953E-9	8.366636E-9	1.038108E-8	8.026876E-9	8.024691E-9	8.273186E-9	1.105418E-8	4.171469E-9	8.497637E-9
3.613281E+2	7.816529E-9	8.860761E-9	7.707742E-9	1.158849E-8	7.977762E-9	7.963114E-9	8.221469E-9	1.098849E-8	5.426118E-9	8.452179E-9
3.710937E+2	9.249935E-9	7.325259E-9	8.706872E-9	1.178786E-8	7.927926E-9	7.900828E-9	8.169004E-9	1.092181E-8	6.146808E-9	7.538069E-9
3.808594E+2	8.524881E-9	7.819252E-9	7.512522E-9	1.176424E-8	7.877404E-9	7.837886E-9	8.115832E-9	1.085419E-8	5.822139E-9	6.983605E-9
3.906250E+2	8.682516E-9	6.928911E-9	6.938722E-9	1.034559E-8	7.826234E-9	7.774343E-9	8.061993E-9	1.078567E-8	3.769176E-9	7.432901E-9
4.003906E+2	8.275702E-9	7.459397E-9	7.799572E-9	9.611542E-9	7.774455E-9	7.710252E-9	8.007528E-9	1.071632E-8	3.853724E-9	7.026576E-9
4.101562E+2	5.771775E-9	7.433571E-9	9.776645E-9	9.745393E-9	7.722103E-9	7.645666E-9	7.952477E-9	1.064617E-8	4.240614E-9	7.057077E-9
4.199219E+2	6.424262E-9	7.901885E-9	8.777065E-9	1.239023E-8	7.669216E-9	7.580635E-9	7.896878E-9	1.057528E-8	4.165267E-9	6.377006E-9
4.296875E+2	7.891124E-9	6.797724E-9	9.299818E-9	1.083208E-8	7.615829E-9	7.515210E-9	7.840770E-9	1.050369E-8	4.579491E-9	6.813571E-9
4.394531E+2	7.574715E-9	7.258464E-9	8.675683E-9	9.392290E-9	7.561978E-9	7.449439E-9	7.784192E-9	1.043145E-8	4.121036E-9	6.803493E-9
4.492187E+2	6.779980E-9	7.953885E-9	8.518982E-9	1.043993E-8	7.507700E-9	7.383370E-9	7.727180E-9	1.035860E-8	4.237672E-9	6.124181E-9
4.589844E+2	6.621524E-9	7.141384E-9	8.016229E-9	1.127951E-8	7.453027E-9	7.317049E-9	7.669771E-9	1.028520E-8	4.290139E-9	6.033044E-9
4.687500E+2	7.537144E-9	6.771555E-9	8.657303E-9	1.066617E-8	7.397995E-9	7.250521E-9	7.612002E-9	1.021129E-8	3.156433E-9	5.246540E-9
4.785156E+2	9.069986E-9	7.009228E-9	7.482840E-9	1.068788E-8	7.342636E-9	7.183829E-9	7.553908E-9	1.013691E-8	2.936394E-9	6.620043E-9
4.882812E+2	7.859352E-9	6.300724E-9	7.717251E-9	1.143127E-8	7.286984E-9	7.117015E-9	7.495523E-9	1.006210E-8	2.990423E-9	7.116013E-9
4.980469E+2	6.668339E-9	6.168922E-9	7.871036E-9	1.091913E-8	7.231070E-9	7.050120E-9	7.436882E-9	9.986916E-9	4.003370E-9	7.030823E-9
5.078125E+2	7.104143E-9	6.467234E-9	6.747039E-9	1.035605E-8	7.174926E-9	6.983183E-9	7.378017E-9	9.911389E-9	3.569146E-9	7.445521E-9
5.175781E+2	6.535038E-9	5.648034E-9	7.261200E-9	1.078595E-8	7.118582E-9	6.916242E-9	7.318960E-9	9.835562E-9	3.038845E-9	6.599258E-9
5.273437E+2	6.034669E-9	6.385099E-9	7.409559E-9	7.550547E-9	7.062068E-9	6.849334E-9	7.259744E-9	9.759475E-9	3.470293E-9	5.734340E-9
5.371094E+2	6.772578E-9	7.000626E-9	7.804743E-9	9.421613E-9	7.005413E-9	6.782493E-9	7.200397E-9	9.683166E-9	3.340620E-9	5.685924E-9
5.468750E+2	7.928140E-9	6.724252E-9	7.052761E-9	9.673116E-9	6.948645E-9	6.715753E-9	7.140951E-9	9.606675E-9	2.462402E-9	5.410554E-9
5.566406E+2	8.468204E-9	5.994306E-9	6.261143E-9	8.449862E-9	6.891791E-9	6.649146E-9	7.081433E-9	9.530036E-9	2.831068E-9	6.449957E-9
5.664062E+2	7.057860E-9	6.467318E-9	6.342996E-9	7.218308E-9	6.834878E-9	6.582704E-9	7.021872E-9	9.453286E-9	2.853502E-9	5.723311E-9
5.761719E+2	7.534455E-9	5.780207E-9	7.541640E-9	8.998594E-9	6.777933E-9	6.516455E-9	6.962295E-9	9.376460E-9	2.426114E-9	4.424038E-9
5.859375E+2	5.516103E-9	4.462434E-9	7.260526E-9	8.933160E-9	6.720979E-9	6.450427E-9	6.902727E-9	9.299591E-9	2.496214E-9	4.643607E-9
5.957031E+2	6.065742E-9	5.247286E-9	7.476062E-9	8.283821E-9	6.664041E-9	6.384648E-9	6.843195E-9	9.222712E-9	2.431801E-9	5.018284E-9
6.054687E+2	7.734116E-9	6.349466E-9	7.211188E-9	7.690905E-9	6.607142E-9	6.319142E-9	6.783721E-9	9.145853E-9	2.645853E-9	5.424298E-9
6.152344E+2	7.694990E-9	5.138180E-9	6.868430E-9	6.061413E-9	6.550305E-9	6.253934E-9	6.724331E-9	9.069047E-9	2.145415E-9	4.814170E-9
6.250000E+2	7.304651E-9	6.626281E-9	6.248574E-9	8.779616E-9	6.493551E-9	6.189047E-9	6.665046E-9	8.992322E-9	2.038764E-9	4.644484E-9
6.347656E+2	6.813414E-9	6.798069E-9	6.076737E-9	9.945822E-9	6.436901E-9	6.124502E-9	6.605888E-9	8.915706E-9	2.001076E-9	4.141663E-9
6.445312E+2	7.494580E-9	5.920321E-9	5.705421E-9	1.014018E-8	6.380376E-9	6.060320E-9	6.546878E-9	8.839227E-9	1.753016E-9	3.732766E-9
6.542969E+2	6.874247E-9	6.056453E-9	5.754838E-9	9.593410E-9	6.323995E-9	5.996519E-9	6.488035E-9	8.762911E-9	1.695607E-9	4.719485E-9
6.640625E+2	6.441618E-9	6.916569E-9	5.650808E-9	8.276960E-9	6.267775E-9	5.933119E-9	6.429380E-9	8.686783E-9	1.945992E-9	4.830886E-9
6.738281E+2	5.724137E-9	5.737405E-9	5.737072E-9	6.765861E-9	6.211736E-9	5.870135E-9	6.370931E-9	8.610868E-9	2.048446E-9	3.860392E-9
6.835937E+2	6.004080E-9	5.477520E-9	6.419112E-9	7.575845E-9	6.155893E-9	5.807583E-9	6.312704E-9	8.535189E-9	1.981034E-9	3.863946E-9
6.933594E+2	5.642560E-9	6.466771E-9	5.088492E-9	7.989345E-9	6.100263E-9	5.745479E-9	6.254717E-9	8.459768E-9	1.685924E-9	5.170582E-9
7.031250E+2	6.360285E-9	6.017850E-9	5.318262E-9	9.031309E-9	6.044862E-9	5.683837E-9	6.196985E-9	8.384626E-9	1.674905E-9	4.331907E-9
7.128906E+2	5.867732E-9	6.939400E-9	5.446039E-9	9.981307E-9	5.989704E-9	5.622668E-9	6.139524E-9	8.309784E-9	1.799300E-9	3.481243E-9
7.226562E+2	5.357435E-9	5.051527E-9	6.717632E-9	8.991803E-9	5.934804E-9	5.561985E-9	6.082348E-9	8.235262E-9	1.954900E-9	3.606859E-9
7.324219E+2	5.494547E-9	4.695971E-9	6.776180E-9	7.597908E-9	5.880174E-9	5.501798E-9	6.025471E-9	8.161078E-9	1.888459E-9	3.612090E-9
7.421875E+2	5.742706E-9	5.339370E-9	7.195798E-9	6.435169E-9	5.825828E-9	5.442118E-9	5.968905E-9	8.087249E-9	1.510170E-9	3.316575E-9
7.519531E+2	4.866512E-9	6.395176E-9	7.140421E-9	8.205992E-9	5.771776E-9	5.382954E-9	5.912663E-9	8.013792E-9	1.680215E-9	3.167638E-9
7.617187E+2	4.811817E-9	5.781961E-9	5.833329E-9	7.691085E-9	5.718032E-9	5.324314E-9	5.856757E-9	7.940723E-9	1.275406E-9	4.503773E-9
7.714844E+2	4.705787E-9	5.448523E-9	5.262698E-9	6.475556E-9	5.664604E-9	5.266206E-9	5.801197E-9	7.868058E-9	1.223365E-9	4.025727E-9
7.812500E+2	5.260249E-9	5.007306E-9	5.804799E-9	7.691905E-9	5.611504E-9	5.208636E-9	5.745993E-9	7.795809E-9	1.601573E-9	3.351892E-9
7.910156E+2	5.499646E-9	4.894671E-9	6.271424E-9	7.546553E-9	5.558742E-9	5.151610E-9	5.691155E-9	7.723992E-9	1.509850E-9	3.775672E-9
8.007812E+2	6.018924E-9	5.468027E-9	6.067282E-9	7.799199E-9	5.506324E-9	5.095134E-9	5.636692E-9	7.652617E-9	1.491419E-9	3.699939E-9
8.105469E+2	5.572036E-9	4.944449E-9	4.976256E-9	9.140365E-9	5.454261E-9	5.039212E-9	5.582612E-9	7.581699E-9	1.398272E-9	3.210908E-9
8.203125E+2	4.906651E-9	4.115127E-9	5.231611E-9	9.029209E-9	5.402560E-9	4.983849E-9	5.528923E-9	7.511246E-9	1.615298E-9	2.713451E-9
8.300781E+2	5.243785E-9	4.158625E-9	5.547320E-9	9.650662E-9	5.351228E-9	4.929047E-9	5.475632E-9	7.441270E-9	1.757866E-9	3.779082E-9
8.398437E+2	4.623321E-9	4.193834E-9	4.490018E-9	7.179808E-9	5.300272E-9	4.874810E-9	5.422746E-9	7.371781E-9	1.351115E-9	4.285535E-9
8.496094E+2	4.717690E-9	3.865583E-9	4.932290E-9	7.675473E-9	5.249699E-9	4.821140E-9	5.370272E-9	7.302787E-9	1.458267E-9	3.305002E-9
8.593750E+2	5.303635E-9	4.429320E-9	5.337720E-9	7.942896E-9	5.199513E-9	4.768039E-9	5.318213E-9	7.234298E-9	1.372142E-9	2.864622E-9
8.691406E+2	4.376663E-9	3.988302E-9	5.469935E-9	7.000148E-9	5.149720E-9	4.715507E-9	5.266577E-9	7.166320E-9	1.546215E-9	3.097447E-9
8.789062E+2	4.158624E-9	4.542617E-9	4.917245E-9	7.010943E-9	5.100325E-9	4.663547E-9	5.215367E-9	7.098861E-9	1.055832E-9	3.346677E-9
8.886719E+2	4.139082E-9	4.155593E-9	5.154283E-9	6.966421E-9	5.051332E-9	4.612157E-9	5.164587E-9	7.031928E-9	1.107347E-9	4.092429E-9
8.984375E+2	3.835191E-9	4.270244E-9	6.129252E-9	7.123868E-9	5.002746E-9	4.561338E-9	5.114242E-9	6.965526E-9	1.187977E-9	3.349965E-9
9.082031E+2	3.372620E-9	5.532807E-9	5.676730E-9	5.366087E-9	4.954570E-9	4.511089E-9	5.064334E-9	6.899660E-9	1.063423E-9	2.809338E-9
9.179687E+2	4.429606E-9	4.231903E-9	4.936849E-9	5.534968E-9	4.906807E-9	4.461410E-9	5.014868E-9	6.834337E-9	1.180714E-9	3.569705E-9
9.277344E+2	5.620445E-9	3.613047E-9	4.564193E-9	5.502854E-9	4.859459E-9	4.412299E-9	4.965844E-9	6.769560E-9	1.056692E-9	3.930560E-9
9.375000E+2	5.626417E-9	3.649321E-9	4.684326E-9	6.199801E-9	4.812530E-9	4.363755E-9	4.917266E-9	6.705334E-9	1.073820E-9	3.099746E-9
9.472656E+2	6.376315E-9	3.716813E-9	4.858623E-9	6.405861E-9	4.766022E-9	4.315776E-9	4.869135E-9	6.641660E-9	1.125899E-9	2.641540E-9
9.570312E+2	5.328353E-9	4.091666E-9	5.360921E-9	7.261610E-9	4.719935E-9	4.268359E-9	4.821453E-9	6.578544E-9	1.059399E-9	2.828887E-9
9.667969E+2	4.594285E-9	4.047345E-9	5.587185E-9	6.528180E-9	4.674272E-9	4.221502E-9	4.774221E-9	6.515987E-9	9.867580E-10	3.401543E-9
9.765625E+2	4.588277E-9	4.076066E-9	6.178110E-9	7.007162E-9	4.629034E-9	4.175203E-9	4.727440E-9	6.453991E-9	1.164779E-9	3.413695E-9
9.863281E+2	4.908180E-9	4.754296E-9	5.610168E-9	6.700254E-9	4.584221E-9	4.129458E-9	4.681110E-9	6.392558E-9	1.333132E-9	2.845413E-9
