# Date of Experiment: 18/08/2014	15:56

# AOD detector vertical offset:  -0.089041
# AOD detector horizontal offset: -0.067967
# AOD vertical corner frequency 281.253681
# AOD horizontal corner frequency: 503.090072
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.293473
# PM detector horizontal offset: -0.045776
# PM vertical corner frequency 502.663972
# PM horizontal corner frequency: 648.164174
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000

# sample rate: 80000 Hz
# number of samples: 524288
# number of blocks: 64.000000

# viscosity (pN s / nm^2): 1.148727E-9
                                                                                                                                                                                                                       
freq 	  PSD PMx 	  PSD PMy  	 PSD AODx 	 PSD AODy 	  Fit PMx 	  Fit PMy 	 Fit AODx 	 Fit AODy 
3.515625E+2	1.322293E-8	1.368622E-8	1.285937E-8	2.096704E-8	1.539257E-8	1.361321E-8	1.245371E-8	1.302700E-8
3.613281E+2	1.482743E-8	1.409776E-8	1.486301E-8	1.509742E-8	1.519797E-8	1.336591E-8	1.222773E-8	1.259444E-8
3.710937E+2	1.609374E-8	1.277897E-8	1.410229E-8	1.267966E-8	1.500310E-8	1.312102E-8	1.200394E-8	1.217896E-8
3.808594E+2	1.939808E-8	1.060840E-8	1.208497E-8	1.410332E-8	1.480817E-8	1.287876E-8	1.178255E-8	1.177998E-8
3.906250E+2	1.722649E-8	1.080331E-8	1.360116E-8	1.401469E-8	1.461336E-8	1.263934E-8	1.156373E-8	1.139693E-8
4.003906E+2	1.473256E-8	1.247088E-8	1.386541E-8	1.434047E-8	1.441888E-8	1.240292E-8	1.134766E-8	1.102921E-8
4.101562E+2	1.342479E-8	1.164507E-8	1.168131E-8	1.557418E-8	1.422489E-8	1.216967E-8	1.113447E-8	1.067623E-8
4.199219E+2	1.151629E-8	9.588695E-9	1.386017E-8	1.342997E-8	1.403156E-8	1.193972E-8	1.092429E-8	1.033743E-8
4.296875E+2	1.657525E-8	9.021978E-9	1.426347E-8	1.312428E-8	1.383905E-8	1.171319E-8	1.071723E-8	1.001222E-8
4.394531E+2	1.737168E-8	1.091453E-8	1.074991E-8	1.589517E-8	1.364751E-8	1.149017E-8	1.051337E-8	9.700042E-9
4.492187E+2	1.232608E-8	1.173688E-8	1.074468E-8	1.645277E-8	1.345707E-8	1.127076E-8	1.031280E-8	9.400359E-9
4.589844E+2	1.197151E-8	1.231868E-8	1.309432E-8	1.573148E-8	1.326785E-8	1.105501E-8	1.011557E-8	9.112637E-9
4.687500E+2	1.082663E-8	9.573513E-9	1.376225E-8	1.280808E-8	1.307998E-8	1.084299E-8	9.921748E-9	8.836361E-9
4.785156E+2	1.111672E-8	9.087471E-9	1.221019E-8	1.156951E-8	1.289357E-8	1.063474E-8	9.731358E-9	8.571035E-9
4.882812E+2	1.197912E-8	8.452690E-9	1.185613E-8	1.235572E-8	1.270872E-8	1.043028E-8	9.544432E-9	8.316179E-9
4.980469E+2	1.222744E-8	6.978045E-9	1.037464E-8	1.315551E-8	1.252551E-8	1.022964E-8	9.360988E-9	8.071333E-9
5.078125E+2	1.367955E-8	6.300514E-9	8.598155E-9	1.387919E-8	1.234404E-8	1.003282E-8	9.181035E-9	7.836055E-9
5.175781E+2	1.344385E-8	7.500391E-9	1.041703E-8	1.241842E-8	1.216438E-8	9.839831E-9	9.004571E-9	7.609919E-9
5.273437E+2	1.293291E-8	7.861873E-9	1.361028E-8	1.158201E-8	1.198660E-8	9.650652E-9	8.831591E-9	7.392520E-9
5.371094E+2	1.252663E-8	8.375334E-9	1.414016E-8	1.316584E-8	1.181076E-8	9.465274E-9	8.662080E-9	7.183467E-9
5.468750E+2	1.109846E-8	7.673790E-9	1.053717E-8	1.194263E-8	1.163691E-8	9.283672E-9	8.496018E-9	6.982390E-9
5.566406E+2	1.127219E-8	7.588983E-9	1.135082E-8	1.269395E-8	1.146512E-8	9.105820E-9	8.333379E-9	6.788932E-9
5.664062E+2	1.097760E-8	6.297017E-9	1.026475E-8	1.509657E-8	1.129541E-8	8.931682E-9	8.174132E-9	6.602755E-9
5.761719E+2	9.921844E-9	8.056896E-9	9.355414E-9	1.283032E-8	1.112783E-8	8.761220E-9	8.018242E-9	6.423534E-9
5.859375E+2	1.205641E-8	8.327464E-9	9.093101E-9	1.233289E-8	1.096242E-8	8.594392E-9	7.865671E-9	6.250962E-9
5.957031E+2	9.052724E-9	8.808072E-9	9.854208E-9	1.071981E-8	1.079918E-8	8.431150E-9	7.716376E-9	6.084745E-9
6.054687E+2	9.360277E-9	7.760378E-9	1.059399E-8	1.039887E-8	1.063816E-8	8.271446E-9	7.570312E-9	5.924602E-9
6.152344E+2	8.748287E-9	8.668285E-9	1.081618E-8	9.827010E-9	1.047937E-8	8.115227E-9	7.427432E-9	5.770266E-9
6.250000E+2	9.966020E-9	8.738467E-9	9.563941E-9	1.196659E-8	1.032282E-8	7.962437E-9	7.287685E-9	5.621483E-9
6.347656E+2	1.306017E-8	6.640160E-9	1.082101E-8	1.053580E-8	1.016852E-8	7.813021E-9	7.151020E-9	5.478011E-9
6.445312E+2	1.022794E-8	7.197111E-9	9.609661E-9	9.894648E-9	1.001648E-8	7.666919E-9	7.017383E-9	5.339621E-9
6.542969E+2	9.848838E-9	7.111008E-9	9.113932E-9	1.165051E-8	9.866697E-9	7.524073E-9	6.886721E-9	5.206092E-9
6.640625E+2	1.083516E-8	7.000123E-9	1.063856E-8	1.170662E-8	9.719176E-9	7.384421E-9	6.758978E-9	5.077215E-9
6.738281E+2	1.091573E-8	6.929958E-9	8.044586E-9	1.073961E-8	9.573911E-9	7.247903E-9	6.634098E-9	4.952793E-9
6.835937E+2	9.686472E-9	6.906039E-9	7.623731E-9	1.051744E-8	9.430898E-9	7.114455E-9	6.512024E-9	4.832635E-9
6.933594E+2	8.233704E-9	6.651257E-9	8.557865E-9	9.312584E-9	9.290127E-9	6.984015E-9	6.392699E-9	4.716562E-9
7.031250E+2	9.927221E-9	6.362390E-9	1.017625E-8	7.675692E-9	9.151588E-9	6.856522E-9	6.276067E-9	4.604403E-9
7.128906E+2	9.213807E-9	7.046168E-9	9.312305E-9	9.387538E-9	9.015267E-9	6.731911E-9	6.162070E-9	4.495993E-9
7.226562E+2	7.256374E-9	7.444554E-9	7.215512E-9	1.083162E-8	8.881150E-9	6.610122E-9	6.050652E-9	4.391177E-9
7.324219E+2	6.635449E-9	6.468909E-9	8.318005E-9	9.617184E-9	8.749220E-9	6.491092E-9	5.941756E-9	4.289808E-9
7.421875E+2	7.513086E-9	6.774687E-9	8.506205E-9	8.016470E-9	8.619458E-9	6.374760E-9	5.835325E-9	4.191743E-9
7.519531E+2	1.011688E-8	7.384218E-9	7.909122E-9	6.781948E-9	8.491846E-9	6.261063E-9	5.731304E-9	4.096849E-9
7.617187E+2	9.573799E-9	5.795540E-9	7.612883E-9	8.103795E-9	8.366361E-9	6.149943E-9	5.629638E-9	4.004998E-9
7.714844E+2	6.539645E-9	5.545738E-9	8.625662E-9	9.288253E-9	8.242983E-9	6.041338E-9	5.530272E-9	3.916067E-9
7.812500E+2	6.610918E-9	5.038499E-9	7.198360E-9	8.183957E-9	8.121687E-9	5.935191E-9	5.433153E-9	3.829939E-9
7.910156E+2	6.409920E-9	5.836592E-9	8.773064E-9	7.554739E-9	8.002449E-9	5.831443E-9	5.338227E-9	3.746505E-9
8.007812E+2	7.905846E-9	7.054027E-9	9.071385E-9	7.338225E-9	7.885244E-9	5.730037E-9	5.245442E-9	3.665657E-9
8.105469E+2	8.433466E-9	7.481000E-9	8.231054E-9	7.077885E-9	7.770047E-9	5.630917E-9	5.154747E-9	3.587295E-9
8.203125E+2	7.313221E-9	7.108066E-9	8.264064E-9	8.875196E-9	7.656831E-9	5.534026E-9	5.066091E-9	3.511322E-9
8.300781E+2	6.185087E-9	5.825029E-9	6.493472E-9	9.771731E-9	7.545569E-9	5.439312E-9	4.979425E-9	3.437647E-9
8.398437E+2	7.333587E-9	5.568588E-9	7.188188E-9	8.372735E-9	7.436234E-9	5.346721E-9	4.894700E-9	3.366182E-9
