# Date of Experiment: 18/08/2014
# measurement starttime: 15:56  

# Laser Diode Status

# Laser Diode Operating Hours (h): 30088.300000
# Laser Diode Current (A): 13.980000

# results thermal calibration: 

# AOD detector vertical offset:  -0.086640
# AOD detector horizontal offset: -0.058736
# AOD vertical trap stiffness (pN/nm): 0.040178
# AOD horizontal trap stiffness (pN/nm): 0.071868
# AOD vertical OLS (V/nm): 0.000498
# AOD horizontal OLS (V/nm): 0.000616
# PM detector vertical offset:  -0.288765
# PM detector horizontal offset: -0.049036
# PM vertical trap stiffness (pN/nm): 0.071807
# PM horizontal trap stiffness (pN/nm): 0.092592
# PM vertical OLS (V/nm): 0.000573
# PM horizontal OLS (V/nm): 0.000737
# PM bead diameter (um): 2.100000
# AOD bead diameter (um): 2.100000
# Viscosity (pN s / nm^2): 1.148727E-9

# sample rate (Hz): 10000
# number of samples: 10
# rate of while-loop(Hz):  1000
# dt (s): 0.00100
# data averaged to while-loop: FALSE


                                                                                                                              
# start of measurement (iteration) : 11143987
# end of measurement (iteration) : 11234731
# duration of measurement(s): 91
# errors: 0	0	0	0	0

                                                  
PMxdiff (V)	  PMydiff (V)	  PMxsum (V)	 AODxdiff (V)	 AODydiff (V)	  AODxsum (V)	  FBxsum (V)	 xdist (nm) 	 ydist (nm)  	  FBx (V) 	 FBy (V)	 PMsensorx (V)	 PMsensory (V)	 TrackingReferenceTime
-0.049344	-0.291355	2.595450	-0.060556	-0.085367	3.138476	0.722131	-0.000171	3000.000727	-0.070692	-0.161649	4.764408	5.934644	251936395.000000
-0.047809	-0.286688	2.598711	-0.056432	-0.083920	3.133505	0.721404	-0.000171	3000.000727	-0.071004	-0.160099	4.764384	5.934572	251936395.000000
-0.045443	-0.288366	2.598319	-0.057199	-0.086965	3.132370	0.720940	-0.000171	3000.000727	-0.071076	-0.162305	4.764336	5.934692	251936395.000000
-0.039505	-0.292155	2.597057	-0.060261	-0.084983	3.135671	0.721628	-0.000171	3000.000727	-0.069677	-0.160043	4.764072	5.934604	251936395.000000
-0.044132	-0.289429	2.597768	-0.061204	-0.090314	3.137909	0.721628	-0.000171	3000.000727	-0.069030	-0.161330	4.763809	5.934485	251936395.000000
-0.047345	-0.286056	2.597896	-0.059262	-0.092305	3.140211	0.721884	-0.000171	3000.000727	-0.069030	-0.160355	4.763865	5.934469	251936395.000000
-0.049727	-0.284929	2.597017	-0.060397	-0.085575	3.138804	0.722155	-0.000171	3000.000727	-0.067032	-0.160754	4.764096	5.934349	251936395.000000
-0.049304	-0.285321	2.597112	-0.059949	-0.088604	3.139403	0.721556	-0.000171	3000.000727	-0.068143	-0.160962	4.764136	5.934636	251936395.000000
-0.047905	-0.288518	2.597528	-0.059709	-0.089883	3.136734	0.722563	-0.000171	3000.000727	-0.068670	-0.161074	4.764160	5.934381	251936395.000000
-0.054123	-0.284721	2.598104	-0.057279	-0.087445	3.133673	0.721899	-0.000171	3000.000727	-0.067559	-0.159595	4.764296	5.934612	251936395.000000
-0.055162	-0.293937	2.598199	-0.057887	-0.083353	3.133577	0.721588	-0.000171	3000.000727	-0.066824	-0.160227	4.763952	5.934437	251936395.000000
-0.053668	-0.289845	2.597089	-0.057711	-0.078022	3.134256	0.722083	-0.000171	3000.000727	-0.066328	-0.160714	4.763936	5.934676	251936395.000000
-0.053196	-0.291579	2.597808	-0.061555	-0.083121	3.136558	0.722907	-0.000171	3000.000727	-0.065937	-0.160275	4.764216	5.934429	251936395.000000
-0.050718	-0.290428	2.599055	-0.055177	-0.087133	3.137245	0.721692	-0.000171	3000.000727	-0.067080	-0.159835	4.763984	5.934628	251936395.000000
-0.051246	-0.290069	2.599143	-0.060189	-0.086246	3.140530	0.722371	-0.000171	3000.000727	-0.067991	-0.159531	4.763912	5.934445	251936395.000000
-0.049903	-0.286208	2.598799	-0.057351	-0.091473	3.138972	0.722051	-0.000171	3000.000727	-0.069142	-0.161146	4.763984	5.934540	251936395.000000
-0.049895	-0.286016	2.598831	-0.049966	-0.088764	3.132106	0.723162	-0.000171	3000.000727	-0.068470	-0.160451	4.764008	5.934588	251936395.000000
-0.047313	-0.291643	2.598072	-0.060972	-0.087821	3.135535	0.721748	-0.000171	3000.000727	-0.069102	-0.160858	4.763761	5.934508	251936395.000000
-0.053028	-0.287271	2.599910	-0.058750	-0.089691	3.133848	0.721164	-0.000171	3000.000727	-0.070253	-0.161370	4.764104	5.934516	251936395.000000
-0.049032	-0.289957	2.599462	-0.059230	-0.087157	3.134392	0.721188	-0.000171	3000.000727	-0.068718	-0.159803	4.764184	5.934421	251936395.000000
