trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
261472112.00	-1.55	-53.91	53.93	-114.79	-3330.95	3332.92
261472208.00	-1.56	-53.76	53.78	-115.28	-3321.73	3323.73
261472320.00	-1.56	-54.02	54.04	-115.48	-3337.61	3339.61
261472320.00	-1.43	-53.97	53.99	-105.62	-3335.05	3336.72
261472512.00	-1.52	-52.42	52.44	-112.72	-3239.19	3241.15
261472608.00	-1.29	-52.44	52.46	-95.91	-3240.56	3241.98
261472720.00	-1.56	-52.45	52.48	-115.91	-3241.06	3243.13
261472816.00	-1.55	-52.38	52.40	-115.04	-3236.44	3238.48
261472912.00	-1.49	-52.47	52.50	-110.23	-3242.37	3244.25
261473024.00	-1.40	-52.27	52.29	-103.92	-3229.72	3231.39
261473120.00	-1.56	-52.42	52.45	-115.79	-3239.33	3241.40
261473120.00	-1.13	-52.47	52.48	-84.05	-3242.00	3243.09
261473312.00	-1.51	-52.48	52.50	-111.85	-3242.46	3244.39
261473312.00	-1.59	-52.46	52.48	-117.71	-3241.52	3243.66
261473408.00	-1.50	-51.91	51.93	-111.35	-3207.26	3209.19
261473520.00	-1.50	-50.96	50.98	-110.75	-3148.76	3150.71
261473616.00	-1.60	-51.16	51.19	-118.60	-3161.36	3163.58
261473712.00	-1.46	-51.09	51.11	-107.89	-3156.71	3158.55
261473808.00	-1.44	-50.84	50.86	-106.76	-3141.38	3143.19
261473920.00	-1.41	-50.98	51.00	-104.81	-3149.78	3151.52
261473920.00	-1.39	-51.04	51.06	-103.04	-3154.06	3155.74
261474112.00	-1.40	-50.67	50.69	-103.58	-3131.06	3132.77
261474112.00	-1.50	-50.99	51.02	-111.31	-3150.91	3152.88
261474208.00	-1.32	-51.17	51.18	-97.63	-3161.58	3163.08
261474320.00	-1.24	-50.80	50.81	-91.51	-3138.78	3140.11
261474416.00	-1.22	-50.50	50.52	-90.72	-3120.70	3122.02
261474512.00	-1.27	-49.58	49.60	-93.89	-3063.49	3064.93
261474608.00	-1.33	-49.50	49.52	-98.71	-3058.79	3060.39
261474720.00	-1.21	-49.59	49.61	-89.64	-3064.23	3065.54
261474816.00	-1.21	-49.27	49.29	-89.65	-3044.68	3046.00
261474912.00	-1.48	-49.47	49.49	-109.48	-3056.90	3058.86
261474912.00	-1.54	-49.77	49.79	-114.26	-3075.30	3077.43
261475008.00	-1.33	-49.28	49.30	-98.20	-3045.00	3046.58
261475216.00	-1.18	-49.64	49.65	-87.13	-3067.24	3068.48
261475312.00	-1.41	-49.64	49.66	-104.17	-3067.31	3069.08
261475408.00	-1.15	-48.96	48.98	-84.92	-3025.46	3026.65
261475520.00	-1.06	-48.03	48.04	-78.79	-2967.48	2968.53
261475616.00	-1.20	-48.02	48.04	-88.94	-2967.28	2968.61
261475616.00	-0.98	-48.25	48.26	-72.51	-2981.07	2981.95
261475712.00	-1.26	-47.87	47.89	-93.23	-2958.16	2959.62
261475920.00	-1.25	-48.30	48.31	-92.77	-2984.30	2985.74
261475920.00	-1.26	-48.13	48.15	-93.45	-2974.19	2975.66
261476016.00	-1.37	-48.06	48.08	-101.32	-2969.36	2971.09
261476112.00	-1.18	-48.12	48.13	-87.04	-2973.17	2974.44
261476208.00	1.21	48.09	48.11	89.71	2971.64	2973.00
261476320.00	-1.15	-48.01	48.02	-85.31	-2966.44	2967.66
261476416.00	-1.16	-48.13	48.14	-86.28	-2973.69	2974.94
